measurement_type,o_zone_id,d_zone_id,from_node_id,to_node_id,obs_count,est_count
link,,,1,2,4266.667,4451.278039685913
link,,,1,3,6733.333,7011.500540029686
link,,,2,1,3000.0,3352.5436849005764
link,,,2,6,7266.667,6908.317412361707
link,,,3,4,4933.333,3662.876984267569
link,,,3,12,7200.0,7300.633101939335
link,,,4,3,400.0,3.920129138458652
link,,,4,5,4866.667,4834.14467144762
link,,,4,11,4866.667,3973.9384788527905
link,,,5,4,2200.0,2453.1192435373346
link,,,5,6,1833.333,1175.5124024984798
link,,,5,9,3766.667,3658.63226894914
link,,,6,5,2933.333,2453.1192435373346
link,,,6,8,6166.667,5630.710571322852
link,,,7,18,4333.333,5180.380802219049
link,,,8,7,4333.333,5180.380802219049
link,,,8,16,1833.333,450.3297691038031
link,,,9,10,3766.667,3658.63226894914
link,,,10,11,200.0,0
link,,,10,16,3566.667,3658.63226894914
link,,,11,12,2933.333,2457.0393726757934
link,,,11,14,2133.333,1516.899106176997
link,,,12,13,5133.333,5809.58305757637
link,,,13,24,533.333,3.920129138458652
link,,,14,15,800.0,1516.899106176997
link,,,14,23,1333.333,0
link,,,15,19,800.0,1516.899106176997
link,,,15,22,400.0,0
link,,,16,17,2533.333,2588.4673889174574
link,,,16,18,2866.667,1520.494649135486
link,,,17,19,2533.333,2588.4673889174574
link,,,18,20,4200.0,4004.868399720569
link,,,19,15,400.0,0
link,,,19,20,2933.333,4105.366495094454
link,,,20,21,200.0,3.920129138458652
link,,,21,20,533.333,3.920129138458652
link,,,21,24,600.0,3.920129138458652
link,,,22,20,533.333,0
link,,,22,21,400.0,0
link,,,23,22,533.333,0
link,,,23,24,800.0,0
link,,,24,13,1400.0,3.920129138458652
link,,,24,21,533.333,3.920129138458652
production,1,,,,8000.0,8110.234894815024
production,2,,,,6000.0,5809.583057576369
production,3,,,,5000.0,3948.089417038758
production,4,,,,3000.0,2696.0070516339656
attraction,,12,,,5000.0,3948.089417038758
attraction,,13,,,6000.0,5809.583057576369
attraction,,18,,,3000.0,2696.0070516339656
attraction,,20,,,8000.0,8110.234894815024
