measurement_id,measurement_type,o_zone_id,d_zone_id,from_node_id,to_node_id,count,upper_bound
1,link,,,1,2,4266.667,0
2,link,,,1,3,6733.333,0
3,link,,,2,1,3000,0
4,link,,,2,6,7266.667,0
5,link,,,3,4,4933.333,0
6,link,,,3,12,7200,0
7,link,,,4,3,400,0
8,link,,,4,5,4866.667,0
9,link,,,4,11,4866.667,0
10,link,,,5,4,2200,0
11,link,,,5,6,1833.333,0
12,link,,,5,9,3766.667,0
13,link,,,6,5,2933.333,0
14,link,,,6,8,6166.667,0
15,link,,,7,18,4333.333,0
16,link,,,8,7,4333.333,0
17,link,,,8,16,1833.333,0
18,link,,,9,10,3766.667,0
19,link,,,10,11,200,0
20,link,,,10,16,3566.667,0
21,link,,,11,12,2933.333,0
22,link,,,11,14,2133.333,0
23,link,,,12,13,5133.333,0
24,link,,,13,24,533.333,0
25,link,,,14,15,800,0
26,link,,,14,23,1333.333,0
27,link,,,15,19,800,0
28,link,,,15,22,400,0
29,link,,,16,17,2533.333,0
30,link,,,16,18,2866.667,0
31,link,,,17,19,2533.333,0
32,link,,,18,20,4200,0
33,link,,,19,15,400,0
34,link,,,19,20,2933.333,0
35,link,,,20,21,200,0
36,link,,,21,20,533.333,0
37,link,,,21,24,600,0
38,link,,,22,20,533.333,0
39,link,,,22,21,400,0
40,link,,,23,22,533.333,0
41,link,,,23,24,800,0
42,link,,,24,13,1400,0
43,link,,,24,21,533.333,0
,production,1,,,,8000,0
,attraction,,20,,,8000,0
,production,2,,,,6000,0
,attraction,,13,,,6000,0
,production,3,,,,5000,0
,attraction,,12,,,5000,0
,production,4,,,,3000,0
,attraction,,18,,,3000,0
