link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,notes
1,1,2,0700_0800,4266.667,9.682,37.181,1.422,period-based
2,1,3,0700_0800,6733.333,19.226,12.483,2.244,period-based
3,2,1,0700_0800,3000.000,6.900,52.174,1.000,period-based
4,2,6,0700_0800,7266.667,30.818,9.735,2.422,period-based
5,3,1,0700_0800,0.000,4.000,60.000,0.000,period-based
6,3,4,0700_0800,4933.333,8.388,28.614,1.644,period-based
7,3,12,0700_0800,7200.000,23.907,10.039,2.400,period-based
8,4,3,0700_0800,400.000,4.000,59.997,0.133,period-based
9,4,5,0700_0800,4866.667,4.078,29.429,1.622,period-based
10,4,11,0700_0800,4866.667,12.233,29.429,1.622,period-based
11,5,4,0700_0800,2200.000,2.087,57.505,0.733,period-based
12,5,6,0700_0800,1833.333,4.084,58.770,0.611,period-based
13,5,9,0700_0800,3766.667,6.864,43.707,1.256,period-based
14,6,2,0700_0800,0.000,5.000,60.000,0.000,period-based
15,6,5,0700_0800,2933.333,4.548,52.766,0.978,period-based
16,6,8,0700_0800,6166.667,7.356,16.313,2.056,period-based
17,7,8,0700_0800,0.000,3.000,60.000,0.000,period-based
18,7,18,0700_0800,4333.333,3.306,36.298,1.444,period-based
19,8,6,0700_0800,0.000,2.000,60.000,0.000,period-based
20,8,7,0700_0800,4333.333,4.959,36.298,1.444,period-based
21,8,9,0700_0800,0.000,10.000,60.000,0.000,period-based
22,8,16,0700_0800,1833.333,5.105,58.770,0.611,period-based
23,9,5,0700_0800,0.000,5.000,60.000,0.000,period-based
24,9,8,0700_0800,0.000,10.000,60.000,0.000,period-based
25,9,10,0700_0800,3766.667,4.118,43.707,1.256,period-based
26,10,9,0700_0800,0.000,3.000,60.000,0.000,period-based
27,10,11,0700_0800,200.000,5.000,60.000,0.067,period-based
28,10,15,0700_0800,0.000,6.000,60.000,0.000,period-based
29,10,16,0700_0800,3566.667,5.199,46.165,1.189,period-based
30,10,17,0700_0800,0.000,8.000,60.000,0.000,period-based
31,11,4,0700_0800,0.000,6.000,60.000,0.000,period-based
32,11,10,0700_0800,0.000,5.000,60.000,0.000,period-based
33,11,12,0700_0800,2933.333,6.823,52.766,0.978,period-based
34,11,14,0700_0800,2133.333,4.153,57.784,0.711,period-based
35,12,3,0700_0800,0.000,4.000,60.000,0.000,period-based
36,12,11,0700_0800,0.000,6.000,60.000,0.000,period-based
37,12,13,0700_0800,5133.333,6.858,26.248,1.711,period-based
38,13,12,0700_0800,0.000,3.000,60.000,0.000,period-based
39,13,24,0700_0800,533.333,4.001,59.991,0.178,period-based
40,14,11,0700_0800,0.000,4.000,60.000,0.000,period-based
41,14,15,0700_0800,800.000,5.004,59.955,0.267,period-based
42,14,23,0700_0800,1333.333,4.023,59.651,0.444,period-based
43,15,10,0700_0800,0.000,6.000,60.000,0.000,period-based
44,15,14,0700_0800,0.000,5.000,60.000,0.000,period-based
45,15,19,0700_0800,800.000,3.002,59.955,0.267,period-based
46,15,22,0700_0800,400.000,3.000,59.997,0.133,period-based
47,16,8,0700_0800,0.000,5.000,60.000,0.000,period-based
48,16,10,0700_0800,0.000,4.000,60.000,0.000,period-based
49,16,17,0700_0800,2533.333,2.153,55.748,0.844,period-based
50,16,18,0700_0800,2866.667,3.375,53.331,0.956,period-based
51,17,10,0700_0800,0.000,8.000,60.000,0.000,period-based
52,17,16,0700_0800,0.000,2.000,60.000,0.000,period-based
53,17,19,0700_0800,2533.333,2.153,55.748,0.844,period-based
54,18,7,0700_0800,0.000,2.000,60.000,0.000,period-based
55,18,16,0700_0800,0.000,3.000,60.000,0.000,period-based
56,18,20,0700_0800,4200.000,6.305,38.065,1.400,period-based
57,19,15,0700_0800,400.000,3.000,59.997,0.133,period-based
58,19,17,0700_0800,0.000,2.000,60.000,0.000,period-based
59,19,20,0700_0800,2933.333,4.548,52.766,0.978,period-based
60,20,18,0700_0800,0.000,4.000,60.000,0.000,period-based
61,20,19,0700_0800,0.000,4.000,60.000,0.000,period-based
62,20,21,0700_0800,200.000,6.000,60.000,0.067,period-based
63,20,22,0700_0800,0.000,5.000,60.000,0.000,period-based
64,21,20,0700_0800,533.333,6.001,59.991,0.178,period-based
65,21,22,0700_0800,0.000,2.000,60.000,0.000,period-based
66,21,24,0700_0800,600.000,3.001,59.986,0.200,period-based
67,22,15,0700_0800,0.000,3.000,60.000,0.000,period-based
68,22,20,0700_0800,533.333,5.001,59.991,0.178,period-based
69,22,21,0700_0800,400.000,2.000,59.997,0.133,period-based
70,22,23,0700_0800,0.000,4.000,60.000,0.000,period-based
71,23,14,0700_0800,0.000,4.000,60.000,0.000,period-based
72,23,22,0700_0800,533.333,4.001,59.991,0.178,period-based
73,23,24,0700_0800,800.000,2.002,59.955,0.267,period-based
74,24,13,0700_0800,1400.000,4.028,59.576,0.467,period-based
75,24,21,0700_0800,533.333,3.000,59.991,0.178,period-based
76,24,23,0700_0800,0.000,2.000,60.000,0.000,period-based
