measurement_type,o_zone_id,d_zone_id,from_node_id,to_node_id,obs_count,est_count
link,,,1,2,3733.333,3763.2730250178884
link,,,1,3,4266.667,4247.641594110435
link,,,2,6,3733.333,3763.2730250178884
link,,,3,4,266.667,259.06790681021823
link,,,3,12,4000.0,3988.573687300217
link,,,4,5,266.667,259.06790681021823
link,,,5,6,266.667,259.06790681021823
link,,,6,8,4000.0,4022.3409318281065
link,,,7,18,3733.333,3763.2730250178884
link,,,8,7,3733.333,3763.2730250178884
link,,,8,16,266.667,259.06790681021823
link,,,12,13,4000.0,3988.573687300217
link,,,13,24,4000.0,3988.573687300217
link,,,16,17,266.667,259.06790681021823
link,,,17,19,266.667,259.06790681021823
link,,,18,20,3733.333,3763.2730250178884
link,,,19,20,266.667,259.06790681021823
link,,,21,20,3200.0,3194.9627171092334
link,,,21,22,533.333,593.0708467666724
link,,,22,20,800.0,793.6109701909836
link,,,23,22,266.667,200.54012342431125
link,,,24,21,3733.333,3788.0335638759057
link,,,24,23,266.667,200.54012342431125
production,1,,,,8000.0,8010.9146191283235
attraction,,20,,,8000.0,8010.9146191283235
