agent_id,o_zone_id,d_zone_id,path_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,geometry
1,1,2,0,p,AM,1.0,0,7.312053699251583,6.0,1;2,1,"LINESTRING ( ,  )"
2,1,3,0,p,AM,1.0,0,66.30719507388888,4.0,1;3,2,"LINESTRING ( ,  )"
3,1,4,0,p,AM,3.386412870425934,0,70.45782659617016,8.0,1;3;4,2;6,"LINESTRING ( ,  ,  )"
4,1,4,1,p,AM,1.6135871295740651,0,4245.424543461782,17.0,1;2;6;5;4,1;4;15;11,"LINESTRING ( ,  ,  ,  ,  )"
5,1,5,0,p,AM,0.840151665892789,0,72.47544325211892,10.0,1;3;4;5,2;6;9,"LINESTRING ( ,  ,  ,  )"
6,1,5,1,p,AM,1.1598483341072103,0,3039.5901060138167,15.0,1;2;6;5,1;4;15,"LINESTRING ( ,  ,  ,  )"
7,1,6,0,p,AM,3.0,0,2320.086300102694,11.0,1;2;6,1;4,"LINESTRING ( ,  ,  )"
8,1,6,1,p,AM,0,0,263.11505035521526,27.0,1;3;4;5;9;8;6,2;6;9;13;24;19,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
9,1,6,2,p,AM,0,0,428.1703583116879,14.0,1;3;4;5;6,2;6;9;12,"LINESTRING ( ,  ,  ,  ,  )"
10,1,7,0,p,AM,0,0,11291.969812932568,16.0,1;2;6;8;7,1;4;16;20,"LINESTRING ( ,  ,  ,  ,  )"
11,1,7,1,p,AM,3.25,0,149872294.31006372,34.0,1;3;12;11;10;17;16;18;7,2;7;36;32;30;52;50;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  )"
12,1,7,2,p,AM,0,0,111.85464653980138,37.0,1;3;4;5;9;10;15;19;20;18;7,2;6;9;13;25;28;45;59;60;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
13,1,7,3,p,AM,0,0,71380.75905262574,30.0,1;3;12;13;24;21;20;18;7,2;7;37;39;75;64;60;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  )"
14,1,7,4,p,AM,0,0,251997.7740708152,23.0,1;2;6;8;16;18;7,1;4;16;22;50;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
15,1,8,0,p,AM,7.599999999999999,0,11255.7077736796,13.0,1;2;6;8,1;4;16,"LINESTRING ( ,  ,  ,  )"
16,1,8,1,p,AM,0,0,172.57292414242465,25.0,1;3;4;5;9;8,2;6;9;13;24,"LINESTRING ( ,  ,  ,  ,  ,  )"
17,1,8,2,p,AM,0,0,115.3517774850319,40.0,1;3;4;5;9;10;15;19;20;18;7;8,2;6;9;13;25;28;45;59;60;54;17,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
18,1,8,3,p,AM,0,0,71483.49758182139,36.0,1;3;12;13;24;21;20;18;16;8,2;7;37;39;75;64;60;55;47,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
19,1,8,4,p,AM,0,0,9363.791831888591,16.0,1;3;4;5;6;8,2;6;9;12;16,"LINESTRING ( ,  ,  ,  ,  ,  )"
20,1,9,0,p,AM,0,0,77.47544325211892,15.0,1;3;4;5;9,2;6;9;13,"LINESTRING ( ,  ,  ,  ,  )"
21,1,9,1,p,AM,4.249999999999999,0,106487.4076712631,38.0,1;3;12;13;24;21;20;18;16;10;9,2;7;37;39;75;64;60;55;48;26,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
22,1,10,0,p,AM,0,0,80.47544325211892,18.0,1;3;4;5;9;10,2;6;9;13;25,"LINESTRING ( ,  ,  ,  ,  ,  )"
23,1,10,1,p,AM,9.749999999999998,0,509323.28399406647,19.0,1;3;12;11;10,2;7;36;32,"LINESTRING ( ,  ,  ,  ,  )"
