agent_id,o_zone_id,d_zone_id,link_sequence,from_node_id,to_node_id,propotion
1,1,2,1,1,2,1.0
2,1,3,2,1,3,1.0
3,1,4,1,1,2,0.322717425914813
4,1,4,2,1,3,0.6772825740851868
5,1,4,4,2,6,0.322717425914813
6,1,4,6,3,4,0.6772825740851868
7,1,4,11,5,4,0.322717425914813
8,1,4,15,6,5,0.322717425914813
9,1,5,1,1,2,0.5799241670536052
10,1,5,2,1,3,0.4200758329463945
11,1,5,4,2,6,0.5799241670536052
12,1,5,6,3,4,0.4200758329463945
13,1,5,9,4,5,0.4200758329463945
14,1,5,15,6,5,0.5799241670536052
15,1,6,1,1,2,1.0
16,1,6,2,1,3,0.0
17,1,6,4,2,6,1.0
18,1,6,6,3,4,0.0
19,1,6,9,4,5,0.0
20,1,6,12,5,6,0.0
21,1,6,13,5,9,0.0
22,1,6,19,8,6,0.0
23,1,6,24,9,8,0.0
24,1,7,1,1,2,0.0
25,1,7,2,1,3,0.65
26,1,7,4,2,6,0.0
27,1,7,6,3,4,0.0
28,1,7,7,3,12,0.65
29,1,7,9,4,5,0.0
30,1,7,13,5,9,0.0
31,1,7,16,6,8,0.0
32,1,7,20,8,7,0.0
33,1,7,22,8,16,0.0
34,1,7,25,9,10,0.0
35,1,7,28,10,15,0.0
36,1,7,30,10,17,0.65
37,1,7,32,11,10,0.65
38,1,7,36,12,11,0.65
39,1,7,37,12,13,0.0
40,1,7,39,13,24,0.0
41,1,7,45,15,19,0.0
42,1,7,50,16,18,0.65
43,1,7,52,17,16,0.65
44,1,7,54,18,7,0.65
45,1,7,59,19,20,0.0
46,1,7,60,20,18,0.0
47,1,7,64,21,20,0.0
48,1,7,75,24,21,0.0
49,1,8,1,1,2,0.9499999999999998
50,1,8,2,1,3,0.0
51,1,8,4,2,6,0.9499999999999998
52,1,8,6,3,4,0.0
53,1,8,7,3,12,0.0
54,1,8,9,4,5,0.0
55,1,8,12,5,6,0.0
56,1,8,13,5,9,0.0
57,1,8,16,6,8,0.9499999999999998
58,1,8,17,7,8,0.0
59,1,8,24,9,8,0.0
60,1,8,25,9,10,0.0
61,1,8,28,10,15,0.0
62,1,8,37,12,13,0.0
63,1,8,39,13,24,0.0
64,1,8,45,15,19,0.0
65,1,8,47,16,8,0.0
66,1,8,54,18,7,0.0
67,1,8,55,18,16,0.0
68,1,8,59,19,20,0.0
69,1,8,60,20,18,0.0
70,1,8,64,21,20,0.0
71,1,8,75,24,21,0.0
72,1,9,2,1,3,0.8499999999999999
73,1,9,37,12,13,0.8499999999999999
74,1,9,6,3,4,0.0
75,1,9,7,3,12,0.8499999999999999
76,1,9,39,13,24,0.8499999999999999
77,1,9,9,4,5,0.0
78,1,9,75,24,21,0.8499999999999999
79,1,9,13,5,9,0.0
80,1,9,48,16,10,0.8499999999999999
81,1,9,55,18,16,0.8499999999999999
82,1,9,26,10,9,0.8499999999999999
83,1,9,60,20,18,0.8499999999999999
84,1,9,64,21,20,0.8499999999999999
85,1,10,2,1,3,0.7499999999999999
86,1,10,36,12,11,0.7499999999999999
87,1,10,37,12,13,0.0
88,1,10,6,3,4,0.0
89,1,10,7,3,12,0.7499999999999999
90,1,10,39,13,24,0.0
91,1,10,9,4,5,0.0
92,1,10,10,4,11,0.0
93,1,10,75,24,21,0.0
94,1,10,13,5,9,0.0
95,1,10,48,16,10,0.0
96,1,10,55,18,16,0.0
97,1,10,25,9,10,0.0
98,1,10,60,20,18,0.0
99,1,10,64,21,20,0.0
100,1,10,32,11,10,0.7499999999999999
101,1,11,2,1,3,0.6999999999999998
102,1,11,36,12,11,0.6999999999999998
103,1,11,37,12,13,0.0
104,1,11,6,3,4,0.0
105,1,11,7,3,12,0.6999999999999998
106,1,11,39,13,24,0.0
107,1,11,10,4,11,0.0
108,1,11,75,24,21,0.0
109,1,11,48,16,10,0.0
110,1,11,55,18,16,0.0
111,1,11,27,10,11,0.0
112,1,11,60,20,18,0.0
113,1,11,64,21,20,0.0
114,1,12,2,1,3,1.0
115,1,12,7,3,12,1.0
116,1,13,2,1,3,0.95
117,1,13,37,12,13,0.95
118,1,13,7,3,12,0.95
119,1,14,2,1,3,0.45
120,1,14,34,11,14,0.0
121,1,14,36,12,11,0.45
122,1,14,37,12,13,0.0
123,1,14,6,3,4,0.0
124,1,14,7,3,12,0.45
125,1,14,39,13,24,0.0
126,1,14,71,23,14,0.0
127,1,14,10,4,11,0.0
128,1,14,44,15,14,0.45
129,1,14,76,24,23,0.0
130,1,14,50,16,18,0.45
131,1,14,52,17,16,0.45
132,1,14,56,18,20,0.45
133,1,14,57,19,15,0.45
134,1,14,61,20,19,0.45
135,1,14,30,10,17,0.45
136,1,14,32,11,10,0.45
137,1,15,2,1,3,0.45
138,1,15,6,3,4,0.0
139,1,15,7,3,12,0.45
140,1,15,9,4,5,0.0
141,1,15,10,4,11,0.0
142,1,15,13,5,9,0.0
143,1,15,25,9,10,0.0
144,1,15,28,10,15,0.0
145,1,15,30,10,17,0.45
146,1,15,32,11,10,0.45
147,1,15,34,11,14,0.0
148,1,15,36,12,11,0.45
149,1,15,37,12,13,0.0
150,1,15,39,13,24,0.0
151,1,15,41,14,15,0.0
152,1,15,50,16,18,0.45
153,1,15,52,17,16,0.45
154,1,15,56,18,20,0.45
155,1,15,57,19,15,0.45
156,1,15,61,20,19,0.45
157,1,15,67,22,15,0.0
158,1,15,72,23,22,0.0
159,1,15,76,24,23,0.0
160,1,16,1,1,2,0.0
161,1,16,2,1,3,0.65
162,1,16,4,2,6,0.0
163,1,16,6,3,4,0.0
164,1,16,7,3,12,0.65
165,1,16,9,4,5,0.0
166,1,16,12,5,6,0.0
167,1,16,13,5,9,0.0
168,1,16,16,6,8,0.0
169,1,16,18,7,18,0.0
170,1,16,20,8,7,0.0
171,1,16,22,8,16,0.0
172,1,16,25,9,10,0.0
173,1,16,28,10,15,0.0
174,1,16,30,10,17,0.65
175,1,16,32,11,10,0.65
176,1,16,36,12,11,0.65
177,1,16,37,12,13,0.0
178,1,16,39,13,24,0.0
179,1,16,45,15,19,0.0
180,1,16,52,17,16,0.65
181,1,16,55,18,16,0.0
182,1,16,59,19,20,0.0
183,1,16,60,20,18,0.0
184,1,16,64,21,20,0.0
185,1,16,75,24,21,0.0
186,1,17,1,1,2,0.0
187,1,17,2,1,3,0.3000000000000001
188,1,17,4,2,6,0.0
189,1,17,36,12,11,0.3000000000000001
190,1,17,6,3,4,0.0
191,1,17,7,3,12,0.3000000000000001
192,1,17,9,4,5,0.0
193,1,17,13,5,9,0.0
194,1,17,45,15,19,0.0
195,1,17,16,6,8,0.0
196,1,17,49,16,17,0.0
197,1,17,22,8,16,0.0
198,1,17,25,9,10,0.0
199,1,17,58,19,17,0.0
200,1,17,28,10,15,0.0
201,1,17,30,10,17,0.3000000000000001
202,1,17,32,11,10,0.3000000000000001
203,1,18,1,1,2,0.0
204,1,18,2,1,3,0.6000000000000001
205,1,18,4,2,6,0.0
206,1,18,6,3,4,0.0
207,1,18,7,3,12,0.6000000000000001
208,1,18,9,4,5,0.0
209,1,18,13,5,9,0.0
210,1,18,16,6,8,0.0
211,1,18,18,7,18,0.0
212,1,18,20,8,7,0.0
213,1,18,22,8,16,0.0
214,1,18,25,9,10,0.0
215,1,18,28,10,15,0.0
216,1,18,30,10,17,0.6000000000000001
217,1,18,32,11,10,0.6000000000000001
218,1,18,36,12,11,0.6000000000000001
219,1,18,37,12,13,0.0
220,1,18,39,13,24,0.0
221,1,18,45,15,19,0.0
222,1,18,50,16,18,0.6000000000000001
223,1,18,52,17,16,0.6000000000000001
224,1,18,59,19,20,0.0
225,1,18,60,20,18,0.0
226,1,18,64,21,20,0.0
227,1,18,75,24,21,0.0
228,1,19,1,1,2,0.0
229,1,19,2,1,3,0.3
230,1,19,4,2,6,0.0
231,1,19,6,3,4,0.0
232,1,19,7,3,12,0.3
233,1,19,9,4,5,0.0
234,1,19,13,5,9,0.0
235,1,19,16,6,8,0.0
236,1,19,22,8,16,0.0
237,1,19,25,9,10,0.0
238,1,19,28,10,15,0.0
239,1,19,30,10,17,0.3
