agent_id,o_zone_id,d_zone_id,path_id,link_sequence,from_node_id,to_node_id,incidence
1,1,2,0,1,1,2,1
2,1,3,0,2,1,3,1
3,1,4,0,2,1,3,1
3,1,4,0,6,3,4,1
4,1,4,1,1,1,2,1
4,1,4,1,4,2,6,1
4,1,4,1,15,6,5,1
4,1,4,1,11,5,4,1
5,1,5,0,2,1,3,1
5,1,5,0,6,3,4,1
5,1,5,0,9,4,5,1
6,1,5,1,1,1,2,1
6,1,5,1,4,2,6,1
6,1,5,1,15,6,5,1
7,1,6,0,1,1,2,1
7,1,6,0,4,2,6,1
8,1,6,1,2,1,3,1
8,1,6,1,6,3,4,1
8,1,6,1,9,4,5,1
8,1,6,1,13,5,9,1
8,1,6,1,24,9,8,1
8,1,6,1,19,8,6,1
9,1,6,2,2,1,3,1
9,1,6,2,6,3,4,1
9,1,6,2,9,4,5,1
9,1,6,2,12,5,6,1
10,1,7,0,1,1,2,1
10,1,7,0,4,2,6,1
10,1,7,0,16,6,8,1
10,1,7,0,20,8,7,1
11,1,7,1,2,1,3,1
11,1,7,1,7,3,12,1
11,1,7,1,36,12,11,1
11,1,7,1,32,11,10,1
11,1,7,1,30,10,17,1
11,1,7,1,52,17,16,1
11,1,7,1,50,16,18,1
11,1,7,1,54,18,7,1
12,1,7,2,2,1,3,1
12,1,7,2,6,3,4,1
12,1,7,2,9,4,5,1
12,1,7,2,13,5,9,1
12,1,7,2,25,9,10,1
12,1,7,2,28,10,15,1
12,1,7,2,45,15,19,1
12,1,7,2,59,19,20,1
12,1,7,2,60,20,18,1
12,1,7,2,54,18,7,1
13,1,7,3,2,1,3,1
13,1,7,3,7,3,12,1
13,1,7,3,37,12,13,1
13,1,7,3,39,13,24,1
13,1,7,3,75,24,21,1
13,1,7,3,64,21,20,1
13,1,7,3,60,20,18,1
13,1,7,3,54,18,7,1
14,1,7,4,1,1,2,1
14,1,7,4,4,2,6,1
14,1,7,4,16,6,8,1
14,1,7,4,22,8,16,1
14,1,7,4,50,16,18,1
14,1,7,4,54,18,7,1
15,1,8,0,1,1,2,1
15,1,8,0,4,2,6,1
15,1,8,0,16,6,8,1
16,1,8,1,2,1,3,1
16,1,8,1,6,3,4,1
16,1,8,1,9,4,5,1
16,1,8,1,13,5,9,1
16,1,8,1,24,9,8,1
17,1,8,2,2,1,3,1
17,1,8,2,6,3,4,1
17,1,8,2,9,4,5,1
17,1,8,2,13,5,9,1
17,1,8,2,25,9,10,1
17,1,8,2,28,10,15,1
17,1,8,2,45,15,19,1
17,1,8,2,59,19,20,1
17,1,8,2,60,20,18,1
17,1,8,2,54,18,7,1
17,1,8,2,17,7,8,1
18,1,8,3,2,1,3,1
18,1,8,3,7,3,12,1
18,1,8,3,37,12,13,1
18,1,8,3,39,13,24,1
18,1,8,3,75,24,21,1
18,1,8,3,64,21,20,1
18,1,8,3,60,20,18,1
18,1,8,3,55,18,16,1
18,1,8,3,47,16,8,1
19,1,8,4,2,1,3,1
19,1,8,4,6,3,4,1
19,1,8,4,9,4,5,1
19,1,8,4,12,5,6,1
19,1,8,4,16,6,8,1
20,1,9,0,2,1,3,1
20,1,9,0,6,3,4,1
20,1,9,0,9,4,5,1
20,1,9,0,13,5,9,1
21,1,9,1,2,1,3,1
21,1,9,1,7,3,12,1
21,1,9,1,37,12,13,1
21,1,9,1,39,13,24,1
21,1,9,1,75,24,21,1
21,1,9,1,64,21,20,1
21,1,9,1,60,20,18,1
21,1,9,1,55,18,16,1
21,1,9,1,48,16,10,1
21,1,9,1,26,10,9,1
22,1,10,0,2,1,3,1
22,1,10,0,6,3,4,1
22,1,10,0,9,4,5,1
22,1,10,0,13,5,9,1
22,1,10,0,25,9,10,1
23,1,10,1,2,1,3,1
23,1,10,1,7,3,12,1
23,1,10,1,36,12,11,1
23,1,10,1,32,11,10,1
24,1,10,2,2,1,3,1
24,1,10,2,7,3,12,1
24,1,10,2,37,12,13,1
24,1,10,2,39,13,24,1
24,1,10,2,75,24,21,1
24,1,10,2,64,21,20,1
24,1,10,2,60,20,18,1
24,1,10,2,55,18,16,1
24,1,10,2,48,16,10,1
25,1,10,3,2,1,3,1
25,1,10,3,6,3,4,1
25,1,10,3,10,4,11,1
25,1,10,3,32,11,10,1
26,1,11,0,2,1,3,1
26,1,11,0,6,3,4,1
26,1,11,0,10,4,11,1
27,1,11,1,2,1,3,1
27,1,11,1,7,3,12,1
27,1,11,1,36,12,11,1
28,1,11,2,2,1,3,1
28,1,11,2,7,3,12,1
28,1,11,2,37,12,13,1
28,1,11,2,39,13,24,1
28,1,11,2,75,24,21,1
28,1,11,2,64,21,20,1
28,1,11,2,60,20,18,1
28,1,11,2,55,18,16,1
28,1,11,2,48,16,10,1
28,1,11,2,27,10,11,1
29,1,12,0,2,1,3,1
29,1,12,0,7,3,12,1
30,1,13,0,2,1,3,1
30,1,13,0,7,3,12,1
30,1,13,0,37,12,13,1
31,1,14,0,2,1,3,1
31,1,14,0,6,3,4,1
31,1,14,0,10,4,11,1
31,1,14,0,34,11,14,1
32,1,14,1,2,1,3,1
32,1,14,1,7,3,12,1
32,1,14,1,36,12,11,1
32,1,14,1,32,11,10,1
32,1,14,1,30,10,17,1
32,1,14,1,52,17,16,1
32,1,14,1,50,16,18,1
32,1,14,1,56,18,20,1
32,1,14,1,61,20,19,1
32,1,14,1,57,19,15,1
32,1,14,1,44,15,14,1
33,1,14,2,2,1,3,1
33,1,14,2,7,3,12,1
33,1,14,2,37,12,13,1
33,1,14,2,39,13,24,1
33,1,14,2,76,24,23,1
33,1,14,2,71,23,14,1
34,1,14,3,2,1,3,1
34,1,14,3,7,3,12,1
34,1,14,3,36,12,11,1
34,1,14,3,34,11,14,1
35,1,15,0,2,1,3,1
35,1,15,0,6,3,4,1
35,1,15,0,10,4,11,1
35,1,15,0,34,11,14,1
35,1,15,0,41,14,15,1
36,1,15,1,2,1,3,1
36,1,15,1,7,3,12,1
36,1,15,1,36,12,11,1
36,1,15,1,32,11,10,1
36,1,15,1,30,10,17,1
36,1,15,1,52,17,16,1
36,1,15,1,50,16,18,1
36,1,15,1,56,18,20,1
36,1,15,1,61,20,19,1
36,1,15,1,57,19,15,1
37,1,15,2,2,1,3,1
37,1,15,2,6,3,4,1
37,1,15,2,9,4,5,1
37,1,15,2,13,5,9,1
37,1,15,2,25,9,10,1
37,1,15,2,28,10,15,1
38,1,15,3,2,1,3,1
38,1,15,3,7,3,12,1
38,1,15,3,37,12,13,1
38,1,15,3,39,13,24,1
38,1,15,3,76,24,23,1
38,1,15,3,72,23,22,1
38,1,15,3,67,22,15,1
39,1,16,0,1,1,2,1
39,1,16,0,4,2,6,1
39,1,16,0,16,6,8,1
39,1,16,0,22,8,16,1
40,1,16,1,2,1,3,1
40,1,16,1,7,3,12,1
40,1,16,1,36,12,11,1
40,1,16,1,32,11,10,1
40,1,16,1,30,10,17,1
40,1,16,1,52,17,16,1
41,1,16,2,2,1,3,1
41,1,16,2,6,3,4,1
41,1,16,2,9,4,5,1
41,1,16,2,13,5,9,1
41,1,16,2,25,9,10,1
41,1,16,2,28,10,15,1
41,1,16,2,45,15,19,1
41,1,16,2,59,19,20,1
41,1,16,2,60,20,18,1
41,1,16,2,55,18,16,1
42,1,16,3,2,1,3,1
42,1,16,3,7,3,12,1
42,1,16,3,37,12,13,1
42,1,16,3,39,13,24,1
42,1,16,3,75,24,21,1
42,1,16,3,64,21,20,1
42,1,16,3,60,20,18,1
42,1,16,3,55,18,16,1
43,1,16,4,1,1,2,1
43,1,16,4,4,2,6,1
43,1,16,4,16,6,8,1
43,1,16,4,20,8,7,1
43,1,16,4,18,7,18,1
43,1,16,4,55,18,16,1
44,1,16,5,2,1,3,1
44,1,16,5,6,3,4,1
44,1,16,5,9,4,5,1
44,1,16,5,12,5,6,1
44,1,16,5,16,6,8,1
44,1,16,5,22,8,16,1
45,1,17,0,1,1,2,1
45,1,17,0,4,2,6,1
45,1,17,0,16,6,8,1
45,1,17,0,22,8,16,1
45,1,17,0,49,16,17,1
46,1,17,1,2,1,3,1
46,1,17,1,7,3,12,1
46,1,17,1,36,12,11,1
46,1,17,1,32,11,10,1
46,1,17,1,30,10,17,1
47,1,17,2,2,1,3,1
47,1,17,2,6,3,4,1
47,1,17,2,9,4,5,1
47,1,17,2,13,5,9,1
47,1,17,2,25,9,10,1
47,1,17,2,28,10,15,1
47,1,17,2,45,15,19,1
47,1,17,2,58,19,17,1
48,1,18,0,1,1,2,1
48,1,18,0,4,2,6,1
48,1,18,0,16,6,8,1
48,1,18,0,20,8,7,1
48,1,18,0,18,7,18,1
49,1,18,1,2,1,3,1
49,1,18,1,7,3,12,1
49,1,18,1,36,12,11,1
49,1,18,1,32,11,10,1
49,1,18,1,30,10,17,1
49,1,18,1,52,17,16,1
49,1,18,1,50,16,18,1
50,1,18,2,2,1,3,1
50,1,18,2,6,3,4,1
50,1,18,2,9,4,5,1
