link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,queue,density,geometry,obs_count,dev,notes
1,1,547,0700_0800,4969.009,0.863,59.999,0.100,0,0,"LINESTRING (-87.675575 42.011629, -87.663667 42.020633)",4989.1,-20.1,period-based
2,2,548,0700_0800,6770.774,0.863,59.997,0.137,0,0,"LINESTRING (-87.699386 42.003527, -87.687483 42.012530)",6719.4,51.4,period-based
3,3,549,0700_0800,10365.961,0.863,59.983,0.209,0,0,"LINESTRING (-87.664855 41.977415, -87.652950 41.986419)",10095.5,270.4,period-based
4,4,550,0700_0800,9610.148,0.863,59.987,0.194,0,0,"LINESTRING (-87.689857 41.963911, -87.677957 41.972914)",9444.6,165.5,period-based
5,5,551,0700_0800,18135.421,0.865,59.838,0.366,0,0,"LINESTRING (-87.652946 41.932398, -87.641042 41.941401)",17223.8,911.6,period-based
6,6,552,0700_0800,6472.859,0.863,59.997,0.131,0,0,"LINESTRING (-87.743446 41.990019, -87.731543 41.999024)",6446.0,26.8,period-based
7,7,553,0700_0800,10015.932,0.863,59.985,0.202,0,0,"LINESTRING (-87.725585 41.960306, -87.713681 41.969312)",9884.3,131.7,period-based
8,8,554,0700_0800,9315.088,0.863,59.989,0.188,0,0,"LINESTRING (-87.799415 41.987318, -87.787511 41.996323)",9252.3,62.8,period-based
9,9,555,0700_0800,6768.217,0.863,59.997,0.137,0,0,"LINESTRING (-87.822036 41.948603, -87.810136 41.957608)",6699.5,68.8,period-based
10,10,556,0700_0800,14341.177,0.864,59.937,0.290,0,0,"LINESTRING (-87.763686 41.938700, -87.751787 41.947704)",13823.6,517.5,period-based
11,11,557,0700_0800,10824.927,0.863,59.979,0.219,0,0,"LINESTRING (-87.761306 41.896383, -87.749405 41.905386)",10551.1,273.9,period-based
12,12,558,0700_0800,6987.973,0.863,59.996,0.141,0,0,"LINESTRING (-87.725585 41.901785, -87.713681 41.910789)",6985.8,2.2,period-based
13,13,559,0700_0800,9581.310,0.863,59.987,0.194,0,0,"LINESTRING (-87.719627 41.872072, -87.707727 41.881076)",9401.5,179.8,period-based
14,14,560,0700_0800,15205.606,0.864,59.920,0.307,0,0,"LINESTRING (-87.713676 41.929697, -87.701773 41.938700)",14763.7,441.9,period-based
15,15,561,0700_0800,9013.366,0.863,59.990,0.182,0,0,"LINESTRING (-87.680335 41.903585, -87.668431 41.912589)",8934.7,78.6,period-based
16,16,562,0700_0800,10771.802,0.863,59.980,0.218,0,0,"LINESTRING (-87.668426 41.875673, -87.656523 41.884678)",10301.0,470.8,period-based
17,17,563,0700_0800,9578.265,0.863,59.987,0.194,0,0,"LINESTRING (-87.637466 41.901785, -87.625562 41.910789)",9098.5,479.7,period-based
18,18,564,0700_0800,9666.677,0.863,59.987,0.195,0,0,"LINESTRING (-87.630325 41.880175, -87.618417 41.889180)",9300.7,365.9,period-based
19,19,565,0700_0800,2597.399,0.863,60.000,0.052,0,0,"LINESTRING (-87.625556 41.858568, -87.613654 41.867571)",2624.6,-27.2,period-based
20,20,566,0700_0800,7734.328,0.863,59.995,0.156,0,0,"LINESTRING (-87.717246 41.840559, -87.705345 41.849564)",7708.0,26.4,period-based
21,21,567,0700_0800,4649.825,0.863,59.999,0.094,0,0,"LINESTRING (-87.670806 41.854067, -87.658904 41.863069)",4696.2,-46.3,period-based
22,22,568,0700_0800,3354.347,0.863,60.000,0.068,0,0,"LINESTRING (-87.621986 41.836058, -87.610081 41.845062)",3370.8,-16.5,period-based
23,23,569,0700_0800,13211.176,0.863,59.954,0.267,0,0,"LINESTRING (-87.662475 41.823454, -87.650569 41.832457)",12667.8,543.3,period-based
24,24,570,0700_0800,5974.615,0.863,59.998,0.121,0,0,"LINESTRING (-87.713676 41.818953, -87.701773 41.827955)",6010.9,-36.3,period-based
25,25,571,0700_0800,5987.266,0.863,59.998,0.121,0,0,"LINESTRING (-87.769645 41.789240, -87.757741 41.798243)",5993.2,-5.9,period-based
26,26,572,0700_0800,13631.142,0.863,59.948,0.275,0,0,"LINESTRING (-87.710105 41.782038, -87.698201 41.791040)",12936.8,694.3,period-based
27,27,573,0700_0800,7796.398,0.863,59.994,0.158,0,0,"LINESTRING (-87.658897 41.778433, -87.646996 41.787438)",7749.5,46.9,period-based
28,28,574,0700_0800,8939.877,0.863,59.990,0.181,0,0,"LINESTRING (-87.613647 41.806345, -87.601746 41.815350)",8700.4,239.5,period-based
29,29,575,0700_0800,15532.908,0.864,59.913,0.314,0,0,"LINESTRING (-87.601745 41.764029, -87.589838 41.773032)",14581.2,951.7,period-based
30,30,576,0700_0800,5408.782,0.863,59.999,0.109,0,0,"LINESTRING (-87.711295 41.746920, -87.699391 41.755925)",5417.0,-8.2,period-based
31,31,577,0700_0800,7846.312,0.863,59.994,0.159,0,0,"LINESTRING (-87.654136 41.735216, -87.642233 41.744221)",7838.9,7.5,period-based
32,32,578,0700_0800,8008.134,0.863,59.994,0.162,0,0,"LINESTRING (-87.677955 41.702803, -87.666049 41.711808)",7900.6,107.5,period-based
33,33,579,0700_0800,4763.427,0.863,59.999,0.096,0,0,"LINESTRING (-87.620795 41.673990, -87.608891 41.682996)",4727.5,36.0,period-based
34,34,580,0700_0800,6509.889,0.863,59.997,0.132,0,0,"LINESTRING (-87.619605 41.711805, -87.607700 41.720811)",6460.1,49.7,period-based
35,35,581,0700_0800,5150.888,0.863,59.999,0.104,0,0,"LINESTRING (-87.560065 41.741518, -87.548160 41.750523)",5145.6,5.3,period-based
