measurement_id,measurement_type,o_zone_id,d_zone_id,from_node_id,to_node_id,count,upper_bound_flag
1,link,,,1,547,4989.130,0
2,link,,,2,548,6719.410,0
3,link,,,3,549,10095.529,0
4,link,,,4,550,9444.620,0
5,link,,,5,551,17223.819,0
6,link,,,6,552,6446.030,0
7,link,,,7,553,9884.279,0
8,link,,,8,554,9252.299,0
9,link,,,9,555,6699.450,0
10,link,,,10,556,13823.649,0
11,link,,,11,557,10551.060,0
12,link,,,12,558,6985.780,0
13,link,,,13,559,9401.480,0
14,link,,,14,560,14763.689,0
15,link,,,15,561,8934.720,0
16,link,,,16,562,10301.009,0
17,link,,,17,563,9098.549,0
18,link,,,18,564,9300.740,0
19,link,,,19,565,2624.610,0
20,link,,,20,566,7707.950,0
21,link,,,21,567,4696.170,0
22,link,,,22,568,3370.820,0
23,link,,,23,569,12667.829,0
24,link,,,24,570,6010.920,0
25,link,,,25,571,5993.210,0
26,link,,,26,572,12936.829,0
27,link,,,27,573,7749.490,0
28,link,,,28,574,8700.359,0
29,link,,,29,575,14581.239,0
30,link,,,30,576,5416.970,0
31,link,,,31,577,7838.860,0
32,link,,,32,578,7900.650,0
33,link,,,33,579,4727.450,0
34,link,,,34,580,6460.140,0
35,link,,,35,581,5145.610,0
36,link,,,36,582,6100.870,0
37,link,,,37,583,1148.810,0
38,link,,,38,584,2228.480,0
39,link,,,39,585,6737.860,0
40,link,,,40,586,1866.660,0
41,link,,,41,587,8069.740,0
42,link,,,42,588,2120.700,0
43,link,,,43,589,5257.640,0
44,link,,,44,590,7128.540,0
45,link,,,45,591,6238.190,0
46,link,,,46,592,6568.320,0
47,link,,,47,593,2892.160,0
48,link,,,48,594,4978.070,0
49,link,,,49,595,3495.580,0
50,link,,,50,596,4758.000,0
51,link,,,51,597,1577.300,0
52,link,,,52,598,2041.280,0
53,link,,,53,599,4665.330,0
54,link,,,54,600,1259.870,0
55,link,,,55,601,1778.420,0
56,link,,,56,602,4297.130,0
57,link,,,57,603,1646.850,0
58,link,,,58,604,5962.500,0
59,link,,,59,605,5225.800,0
60,link,,,60,606,5148.460,0
61,link,,,61,607,5264.460,0
62,link,,,62,608,5472.500,0
63,link,,,63,609,3718.920,0
64,link,,,64,610,9104.310,0
65,link,,,65,611,3468.090,0
66,link,,,66,612,6193.350,0
67,link,,,67,613,3858.590,0
68,link,,,68,614,6526.750,0
69,link,,,69,615,6270.570,0
70,link,,,70,616,4480.420,0
71,link,,,71,617,3979.920,0
72,link,,,72,618,7296.660,0
73,link,,,73,619,7675.900,0
74,link,,,74,620,2642.720,0
75,link,,,75,621,2685.230,0
76,link,,,76,622,5958.850,0
77,link,,,77,623,7998.540,0
78,link,,,78,624,6831.440,0
79,link,,,79,625,3838.330,0
80,link,,,80,626,10315.780,0
81,link,,,81,627,8352.050,0
82,link,,,82,628,5765.210,0
83,link,,,83,629,4294.910,0
84,link,,,84,630,6438.080,0
85,link,,,85,631,13283.459,0
86,link,,,86,632,5293.370,0
87,link,,,87,633,5977.540,0
88,link,,,88,634,4579.160,0
89,link,,,89,635,2370.390,0
90,link,,,90,636,2212.550,0
91,link,,,91,637,7079.220,0
92,link,,,92,638,1746.500,0
93,link,,,93,639,4363.860,0
94,link,,,94,640,471.020,0
95,link,,,95,641,2752.810,0
96,link,,,96,642,587.410,0
97,link,,,97,643,6304.830,0
98,link,,,98,644,8436.920,0
99,link,,,99,645,4527.160,0
100,link,,,100,646,3592.630,0
101,link,,,101,647,3144.710,0
102,link,,,102,648,3681.720,0
103,link,,,103,649,1743.130,0
104,link,,,104,650,3100.180,0
105,link,,,105,651,983.630,0
106,link,,,106,652,3859.910,0
107,link,,,107,653,3630.970,0
108,link,,,108,654,3769.100,0
109,link,,,109,655,3028.100,0
110,link,,,110,656,5660.600,0
111,link,,,111,657,5463.480,0
112,link,,,112,658,3659.230,0
113,link,,,113,659,3784.730,0
114,link,,,114,660,2147.450,0
115,link,,,115,661,4043.610,0
116,link,,,116,662,2374.710,0
117,link,,,117,663,824.080,0
118,link,,,118,664,4286.070,0
119,link,,,119,665,1278.870,0
120,link,,,120,666,1507.370,0
121,link,,,121,667,3785.820,0
122,link,,,122,668,1943.730,0
123,link,,,123,669,4281.930,0
124,link,,,124,670,1800.850,0
125,link,,,125,671,2224.150,0
126,link,,,126,672,507.290,0
127,link,,,127,673,2137.820,0
128,link,,,128,674,864.150,0
129,link,,,129,675,3848.750,0
130,link,,,130,676,2993.410,0
131,link,,,131,677,5005.800,0
132,link,,,132,678,3968.500,0
133,link,,,133,679,5192.120,0
134,link,,,134,680,3356.650,0
135,link,,,135,681,5479.750,0
136,link,,,136,682,6391.220,0
137,link,,,137,683,2348.410,0
138,link,,,138,684,1466.590,0
139,link,,,139,685,1631.540,0
140,link,,,140,686,1097.230,0
141,link,,,141,687,5293.440,0
142,link,,,142,688,5106.130,0
143,link,,,143,689,4074.250,0
144,link,,,144,690,3079.560,0
145,link,,,145,691,7191.340,0
146,link,,,146,692,6930.250,0
147,link,,,147,693,6262.200,0
148,link,,,148,694,6643.950,0
149,link,,,149,695,4165.680,0
