agent_id,o_zone_id,d_zone_id,path_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,geometry
1,1,2,0,p,AM,100.0,0,6.001321900241923,6.0,1;2,1,"LINESTRING ( ,  )"
2,1,3,0,p,AM,100.0,0,4.0117508400075845,4.0,1;3,2,"LINESTRING ( ,  )"
3,1,4,0,p,AM,500.0,0,8.349293251607351,8.0,1;3;4,2;6,"LINESTRING ( ,  ,  )"
4,1,5,0,p,AM,200.0,0,10.73742827311545,10.0,1;3;4;5,2;6;9,"LINESTRING ( ,  ,  ,  )"
5,1,6,0,p,AM,299.99999999999994,0,12.11266441553029,11.0,1;2;6,1;4,"LINESTRING ( ,  ,  )"
6,1,6,1,p,AM,0,0,20.12166920841387,14.0,1;3;4;5;6,2;6;9;12,"LINESTRING ( ,  ,  ,  ,  )"
7,1,7,0,p,AM,499.9999999999999,0,34.18050175997422,16.0,1;2;6;8;7,1;4;16;20,"LINESTRING ( ,  ,  ,  ,  )"
8,1,7,1,p,AM,0,0,42.30760692943823,28.0,1;3;4;5;9;8;7,2;6;9;13;24;20,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
9,1,7,2,p,AM,0,0,44.76446171423639,23.0,1;2;6;8;16;18;7,1;4;16;22;50;54,"LINESTRING ( ,  ,  ,  ,  ,  ,  )"
10,1,8,0,p,AM,800.0000000000001,0,28.248747804696084,13.0,1;2;6;8,1;4;16,"LINESTRING ( ,  ,  ,  )"
11,1,8,1,p,AM,0,0,36.37585297416009,25.0,1;3;4;5;9;8,2;6;9;13;24,"LINESTRING ( ,  ,  ,  ,  ,  )"
12,1,9,0,p,AM,499.9999999999999,0,20.321297216262934,15.0,1;3;4;5;9,2;6;9;13,"LINESTRING ( ,  ,  ,  ,  )"
13,1,9,1,p,AM,0,0,39.70600693218121,22.0,1;3;12;11;10;9,2;7;36;32;26,"LINESTRING ( ,  ,  ,  ,  ,  )"
14,1,10,0,p,AM,1299.9999999999998,0,26.06793843450683,18.0,1;3;4;5;9;10,2;6;9;13;25,"LINESTRING ( ,  ,  ,  ,  ,  )"
15,1,10,1,p,AM,0,0,33.9467073261955,19.0,1;3;12;11;10,2;7;36;32,"LINESTRING ( ,  ,  ,  ,  )"
16,1,10,2,p,AM,0,0,27.603243874922534,19.0,1;3;4;11;10,2;6;10;32,"LINESTRING ( ,  ,  ,  ,  )"
17,1,11,0,p,AM,500.0,0,15.61438026693091,14.0,1;3;4;11,2;6;10,"LINESTRING ( ,  ,  ,  )"
18,1,11,1,p,AM,0,0,21.957843718203883,14.0,1;3;12;11,2;7;36,"LINESTRING ( ,  ,  ,  )"
19,1,12,0,p,AM,200.0,0,8.034601459687295,8.0,1;3;12,2;7,"LINESTRING ( ,  ,  )"
20,1,13,0,p,AM,500.0,0,11.065078323167805,11.0,1;3;12;13,2;7;37,"LINESTRING ( ,  ,  ,  )"
21,1,14,0,p,AM,299.99999999999994,0,28.602862460401177,18.0,1;3;4;11;14,2;6;10;34,"LINESTRING ( ,  ,  ,  ,  )"
