agent_id,o_zone_id,d_zone_id,link_sequence,from_node_id,to_node_id,propotion
1,1,2,1,1,2,1.0
2,1,3,2,1,3,1.0
3,1,4,2,1,3,1.0
4,1,4,6,3,4,1.0
5,1,5,9,4,5,1.0
6,1,5,2,1,3,1.0
7,1,5,6,3,4,1.0
8,1,6,1,1,2,0.9999999999999998
9,1,6,2,1,3,0.0
10,1,6,4,2,6,0.9999999999999998
11,1,6,6,3,4,0.0
12,1,6,9,4,5,0.0
13,1,6,12,5,6,0.0
14,1,7,1,1,2,0.9999999999999998
15,1,7,2,1,3,0.0
16,1,7,4,2,6,0.9999999999999998
17,1,7,6,3,4,0.0
18,1,7,9,4,5,0.0
19,1,7,13,5,9,0.0
20,1,7,16,6,8,0.9999999999999998
21,1,7,50,16,18,0.0
22,1,7,20,8,7,0.9999999999999998
23,1,7,22,8,16,0.0
24,1,7,54,18,7,0.0
25,1,7,24,9,8,0.0
26,1,8,1,1,2,1.0000000000000002
27,1,8,2,1,3,0.0
28,1,8,4,2,6,1.0000000000000002
29,1,8,6,3,4,0.0
30,1,8,9,4,5,0.0
31,1,8,13,5,9,0.0
32,1,8,16,6,8,1.0000000000000002
33,1,8,24,9,8,0.0
34,1,9,2,1,3,0.9999999999999998
35,1,9,36,12,11,0.0
36,1,9,6,3,4,0.9999999999999998
37,1,9,7,3,12,0.0
38,1,9,9,4,5,0.9999999999999998
39,1,9,13,5,9,0.9999999999999998
40,1,9,26,10,9,0.0
41,1,9,32,11,10,0.0
42,1,10,2,1,3,0.9999999999999998
43,1,10,36,12,11,0.0
44,1,10,6,3,4,0.9999999999999998
45,1,10,7,3,12,0.0
46,1,10,9,4,5,0.9999999999999998
47,1,10,10,4,11,0.0
48,1,10,13,5,9,0.9999999999999998
49,1,10,25,9,10,0.9999999999999998
50,1,10,32,11,10,0.0
51,1,11,2,1,3,1.0
52,1,11,36,12,11,0.0
53,1,11,6,3,4,1.0
54,1,11,7,3,12,0.0
55,1,11,10,4,11,1.0
56,1,12,2,1,3,1.0
57,1,12,7,3,12,1.0
58,1,13,2,1,3,1.0
59,1,13,37,12,13,1.0
60,1,13,7,3,12,1.0
61,1,14,2,1,3,0.9999999999999998
62,1,14,34,11,14,0.9999999999999998
63,1,14,36,12,11,0.0
64,1,14,37,12,13,0.0
65,1,14,6,3,4,0.9999999999999998
66,1,14,7,3,12,0.0
67,1,14,39,13,24,0.0
68,1,14,71,23,14,0.0
69,1,14,10,4,11,0.9999999999999998
70,1,14,76,24,23,0.0
71,1,15,2,1,3,1.0000000000000002
72,1,15,34,11,14,0.0
73,1,15,36,12,11,0.0
74,1,15,6,3,4,1.0000000000000002
75,1,15,7,3,12,0.0
76,1,15,41,14,15,0.0
77,1,15,10,4,11,0.0
78,1,15,9,4,5,1.0000000000000002
79,1,15,13,5,9,1.0000000000000002
80,1,15,25,9,10,1.0000000000000002
81,1,15,28,10,15,1.0000000000000002
82,1,15,32,11,10,0.0
83,1,16,1,1,2,0.9999999999999998
84,1,16,2,1,3,0.0
85,1,16,4,2,6,0.9999999999999998
86,1,16,6,3,4,0.0
87,1,16,9,4,5,0.0
88,1,16,13,5,9,0.0
89,1,16,16,6,8,0.9999999999999998
90,1,16,18,7,18,0.09212913824946015
91,1,16,20,8,7,0.09212913824946015
92,1,16,22,8,16,0.9078708617505397
93,1,16,55,18,16,0.09212913824946015
94,1,16,24,9,8,0.0
95,1,16,25,9,10,0.0
96,1,16,29,10,16,0.0
97,1,17,1,1,2,0.0
98,1,17,2,1,3,1.0
99,1,17,4,2,6,0.0
100,1,17,6,3,4,1.0
101,1,17,9,4,5,1.0
102,1,17,10,4,11,0.0
103,1,17,13,5,9,1.0
104,1,17,16,6,8,0.0
105,1,17,49,16,17,0.0
106,1,17,22,8,16,0.0
107,1,17,25,9,10,1.0
108,1,17,29,10,16,0.0
109,1,17,30,10,17,1.0
110,1,17,32,11,10,0.0
111,1,18,1,1,2,1.0000000000000002
112,1,18,2,1,3,0.0
113,1,18,4,2,6,1.0000000000000002
114,1,18,6,3,4,0.0
115,1,18,9,4,5,0.0
116,1,18,13,5,9,0.0
117,1,18,16,6,8,1.0000000000000002
118,1,18,18,7,18,1.0000000000000002
119,1,18,50,16,18,0.0
120,1,18,20,8,7,1.0000000000000002
121,1,18,22,8,16,0.0
122,1,18,24,9,8,0.0
123,1,18,25,9,10,0.0
124,1,18,29,10,16,0.0
125,1,19,1,1,2,0.0
126,1,19,2,1,3,1.0
127,1,19,4,2,6,0.0
128,1,19,6,3,4,1.0
129,1,19,7,3,12,0.0
130,1,19,9,4,5,1.0
131,1,19,10,4,11,0.0
132,1,19,13,5,9,1.0
133,1,19,16,6,8,0.0
134,1,19,22,8,16,0.0
135,1,19,25,9,10,1.0
136,1,19,28,10,15,1.0
137,1,19,32,11,10,0.0
138,1,19,34,11,14,0.0
139,1,19,36,12,11,0.0
140,1,19,41,14,15,0.0
141,1,19,45,15,19,1.0
142,1,19,49,16,17,0.0
143,1,19,53,17,19,0.0
144,1,20,1,1,2,1.0
145,1,20,2,1,3,0.0
146,1,20,4,2,6,1.0
147,1,20,6,3,4,0.0
148,1,20,9,4,5,0.0
149,1,20,13,5,9,0.0
150,1,20,45,15,19,0.0
151,1,20,16,6,8,1.0
152,1,20,18,7,18,1.0
153,1,20,50,16,18,0.0
154,1,20,20,8,7,1.0
155,1,20,24,9,8,0.0
156,1,20,22,8,16,0.0
157,1,20,56,18,20,1.0
158,1,20,25,9,10,0.0
159,1,20,59,19,20,0.0
160,1,20,28,10,15,0.0
161,1,21,2,1,3,0.9999999999999999
162,1,21,37,12,13,0.9999999999999999
163,1,21,6,3,4,0.0
164,1,21,39,13,24,0.9999999999999999
165,1,21,7,3,12,0.9999999999999999
166,1,21,9,4,5,0.0
167,1,21,75,24,21,0.9999999999999999
168,1,21,13,5,9,0.0
169,1,21,45,15,19,0.0
170,1,21,25,9,10,0.0
171,1,21,59,19,20,0.0
172,1,21,28,10,15,0.0
173,1,21,62,20,21,0.0
174,1,22,65,21,22,0.6161700180033636
175,1,22,2,1,3,1.0
176,1,22,34,11,14,0.0
177,1,22,36,12,11,0.0
178,1,22,37,12,13,1.0
179,1,22,39,13,24,1.0
180,1,22,7,3,12,1.0
181,1,22,72,23,22,0.38382998199663637
182,1,22,41,14,15,0.0
183,1,22,75,24,21,0.6161700180033636
184,1,22,76,24,23,0.38382998199663637
185,1,22,46,15,22,0.0
186,1,23,2,1,3,0.9999999999999994
187,1,23,34,11,14,0.0
188,1,23,36,12,11,0.0
189,1,23,37,12,13,0.9999999999999994
190,1,23,39,13,24,0.9999999999999994
191,1,23,7,3,12,0.9999999999999994
192,1,23,42,14,23,0.0
193,1,23,76,24,23,0.9999999999999994
194,1,24,39,13,24,1.0
195,1,24,2,1,3,1.0
196,1,24,37,12,13,1.0
197,1,24,7,3,12,1.0
198,2,1,3,2,1,1.0
199,2,3,2,1,3,1.0
200,2,3,3,2,1,1.0
201,2,4,2,1,3,0.9999999999999999
202,2,4,3,2,1,0.9999999999999999
203,2,4,4,2,6,0.0
204,2,4,6,3,4,0.9999999999999999
205,2,4,11,5,4,0.0
206,2,4,15,6,5,0.0
207,2,5,4,2,6,1.0
208,2,5,15,6,5,1.0
209,2,6,4,2,6,1.0
210,2,7,2,1,3,0.0
211,2,7,3,2,1,0.0
212,2,7,4,2,6,0.9999999999999999
213,2,7,6,3,4,0.0
214,2,7,9,4,5,0.0
215,2,7,13,5,9,0.0
216,2,7,16,6,8,0.9999999999999999
217,2,7,50,16,18,0.0
218,2,7,20,8,7,0.9999999999999999
219,2,7,22,8,16,0.0
220,2,7,54,18,7,0.0
221,2,7,24,9,8,0.0
222,2,8,2,1,3,0.0
223,2,8,3,2,1,0.0
224,2,8,4,2,6,0.9999999999999999
225,2,8,6,3,4,0.0
226,2,8,9,4,5,0.0
227,2,8,13,5,9,0.0
228,2,8,16,6,8,0.9999999999999999
229,2,8,24,9,8,0.0
230,2,9,4,2,6,1.0
231,2,9,13,5,9,1.0
232,2,9,15,6,5,1.0
233,2,10,2,1,3,1.0
