global_path_id,o_zone_id,d_zone_id,path_id,link_sequence,from_node_id,to_node_id,incidence
1,1,2,0,1,1,2,1
2,1,3,0,2,1,3,1
3,1,4,0,2,1,3,1
3,1,4,0,6,3,4,1
4,1,5,0,2,1,3,1
4,1,5,0,6,3,4,1
4,1,5,0,9,4,5,1
5,1,6,0,1,1,2,1
5,1,6,0,4,2,6,1
6,1,6,1,2,1,3,1
6,1,6,1,6,3,4,1
6,1,6,1,9,4,5,1
6,1,6,1,12,5,6,1
7,1,7,0,1,1,2,1
7,1,7,0,4,2,6,1
7,1,7,0,16,6,8,1
7,1,7,0,20,8,7,1
8,1,7,1,2,1,3,1
8,1,7,1,6,3,4,1
8,1,7,1,9,4,5,1
8,1,7,1,13,5,9,1
8,1,7,1,24,9,8,1
8,1,7,1,20,8,7,1
9,1,7,2,1,1,2,1
9,1,7,2,4,2,6,1
9,1,7,2,16,6,8,1
9,1,7,2,22,8,16,1
9,1,7,2,50,16,18,1
9,1,7,2,54,18,7,1
10,1,8,0,1,1,2,1
10,1,8,0,4,2,6,1
10,1,8,0,16,6,8,1
11,1,8,1,2,1,3,1
11,1,8,1,6,3,4,1
11,1,8,1,9,4,5,1
11,1,8,1,13,5,9,1
11,1,8,1,24,9,8,1
12,1,9,0,2,1,3,1
12,1,9,0,6,3,4,1
12,1,9,0,9,4,5,1
12,1,9,0,13,5,9,1
13,1,9,1,2,1,3,1
13,1,9,1,7,3,12,1
13,1,9,1,36,12,11,1
13,1,9,1,32,11,10,1
13,1,9,1,26,10,9,1
14,1,10,0,2,1,3,1
14,1,10,0,6,3,4,1
14,1,10,0,9,4,5,1
14,1,10,0,13,5,9,1
14,1,10,0,25,9,10,1
15,1,10,1,2,1,3,1
15,1,10,1,7,3,12,1
15,1,10,1,36,12,11,1
15,1,10,1,32,11,10,1
16,1,10,2,2,1,3,1
16,1,10,2,6,3,4,1
16,1,10,2,10,4,11,1
16,1,10,2,32,11,10,1
17,1,11,0,2,1,3,1
17,1,11,0,6,3,4,1
17,1,11,0,10,4,11,1
18,1,11,1,2,1,3,1
18,1,11,1,7,3,12,1
18,1,11,1,36,12,11,1
19,1,12,0,2,1,3,1
19,1,12,0,7,3,12,1
20,1,13,0,2,1,3,1
20,1,13,0,7,3,12,1
20,1,13,0,37,12,13,1
21,1,14,0,2,1,3,1
21,1,14,0,6,3,4,1
21,1,14,0,10,4,11,1
21,1,14,0,34,11,14,1
22,1,14,1,2,1,3,1
22,1,14,1,7,3,12,1
22,1,14,1,37,12,13,1
22,1,14,1,39,13,24,1
22,1,14,1,76,24,23,1
22,1,14,1,71,23,14,1
23,1,14,2,2,1,3,1
23,1,14,2,7,3,12,1
23,1,14,2,36,12,11,1
23,1,14,2,34,11,14,1
24,1,15,0,2,1,3,1
24,1,15,0,6,3,4,1
24,1,15,0,10,4,11,1
24,1,15,0,34,11,14,1
24,1,15,0,41,14,15,1
25,1,15,1,2,1,3,1
25,1,15,1,6,3,4,1
25,1,15,1,9,4,5,1
25,1,15,1,13,5,9,1
25,1,15,1,25,9,10,1
25,1,15,1,28,10,15,1
26,1,15,2,2,1,3,1
26,1,15,2,7,3,12,1
26,1,15,2,36,12,11,1
26,1,15,2,34,11,14,1
26,1,15,2,41,14,15,1
27,1,15,3,2,1,3,1
27,1,15,3,6,3,4,1
27,1,15,3,10,4,11,1
27,1,15,3,32,11,10,1
27,1,15,3,28,10,15,1
28,1,15,4,2,1,3,1
28,1,15,4,7,3,12,1
28,1,15,4,36,12,11,1
28,1,15,4,32,11,10,1
28,1,15,4,28,10,15,1
29,1,16,0,1,1,2,1
29,1,16,0,4,2,6,1
29,1,16,0,16,6,8,1
29,1,16,0,22,8,16,1
30,1,16,1,2,1,3,1
30,1,16,1,6,3,4,1
30,1,16,1,9,4,5,1
30,1,16,1,13,5,9,1
30,1,16,1,24,9,8,1
30,1,16,1,20,8,7,1
30,1,16,1,18,7,18,1
30,1,16,1,55,18,16,1
31,1,16,2,1,1,2,1
31,1,16,2,4,2,6,1
31,1,16,2,16,6,8,1
31,1,16,2,20,8,7,1
31,1,16,2,18,7,18,1
31,1,16,2,55,18,16,1
32,1,16,3,2,1,3,1
32,1,16,3,6,3,4,1
32,1,16,3,9,4,5,1
32,1,16,3,13,5,9,1
32,1,16,3,25,9,10,1
32,1,16,3,29,10,16,1
33,1,17,0,1,1,2,1
33,1,17,0,4,2,6,1
33,1,17,0,16,6,8,1
33,1,17,0,22,8,16,1
33,1,17,0,49,16,17,1
34,1,17,1,2,1,3,1
34,1,17,1,6,3,4,1
34,1,17,1,9,4,5,1
34,1,17,1,13,5,9,1
34,1,17,1,25,9,10,1
34,1,17,1,30,10,17,1
35,1,17,2,2,1,3,1
35,1,17,2,6,3,4,1
35,1,17,2,9,4,5,1
35,1,17,2,13,5,9,1
35,1,17,2,25,9,10,1
35,1,17,2,29,10,16,1
35,1,17,2,49,16,17,1
36,1,17,3,2,1,3,1
36,1,17,3,6,3,4,1
36,1,17,3,10,4,11,1
36,1,17,3,32,11,10,1
36,1,17,3,30,10,17,1
37,1,18,0,1,1,2,1
37,1,18,0,4,2,6,1
37,1,18,0,16,6,8,1
37,1,18,0,20,8,7,1
37,1,18,0,18,7,18,1
38,1,18,1,2,1,3,1
38,1,18,1,6,3,4,1
38,1,18,1,9,4,5,1
38,1,18,1,13,5,9,1
38,1,18,1,24,9,8,1
38,1,18,1,20,8,7,1
38,1,18,1,18,7,18,1
39,1,18,2,1,1,2,1
39,1,18,2,4,2,6,1
39,1,18,2,16,6,8,1
39,1,18,2,22,8,16,1
39,1,18,2,50,16,18,1
40,1,18,3,2,1,3,1
40,1,18,3,6,3,4,1
40,1,18,3,9,4,5,1
40,1,18,3,13,5,9,1
40,1,18,3,25,9,10,1
40,1,18,3,29,10,16,1
40,1,18,3,50,16,18,1
41,1,19,0,1,1,2,1
41,1,19,0,4,2,6,1
41,1,19,0,16,6,8,1
41,1,19,0,22,8,16,1
41,1,19,0,49,16,17,1
41,1,19,0,53,17,19,1
42,1,19,1,2,1,3,1
42,1,19,1,6,3,4,1
42,1,19,1,9,4,5,1
42,1,19,1,13,5,9,1
42,1,19,1,25,9,10,1
42,1,19,1,28,10,15,1
42,1,19,1,45,15,19,1
43,1,19,2,2,1,3,1
43,1,19,2,7,3,12,1
43,1,19,2,36,12,11,1
43,1,19,2,34,11,14,1
43,1,19,2,41,14,15,1
43,1,19,2,45,15,19,1
44,1,19,3,2,1,3,1
44,1,19,3,6,3,4,1
44,1,19,3,10,4,11,1
44,1,19,3,32,11,10,1
44,1,19,3,28,10,15,1
44,1,19,3,45,15,19,1
45,1,19,4,2,1,3,1
45,1,19,4,7,3,12,1
45,1,19,4,36,12,11,1
45,1,19,4,32,11,10,1
45,1,19,4,28,10,15,1
45,1,19,4,45,15,19,1
46,1,20,0,1,1,2,1
46,1,20,0,4,2,6,1
46,1,20,0,16,6,8,1
46,1,20,0,20,8,7,1
46,1,20,0,18,7,18,1
46,1,20,0,56,18,20,1
47,1,20,1,2,1,3,1
47,1,20,1,6,3,4,1
47,1,20,1,9,4,5,1
47,1,20,1,13,5,9,1
47,1,20,1,25,9,10,1
47,1,20,1,28,10,15,1
47,1,20,1,45,15,19,1
47,1,20,1,59,19,20,1
48,1,20,2,1,1,2,1
48,1,20,2,4,2,6,1
48,1,20,2,16,6,8,1
48,1,20,2,22,8,16,1
48,1,20,2,50,16,18,1
48,1,20,2,56,18,20,1
49,1,20,3,2,1,3,1
49,1,20,3,6,3,4,1
49,1,20,3,9,4,5,1
49,1,20,3,13,5,9,1
49,1,20,3,24,9,8,1
49,1,20,3,20,8,7,1
49,1,20,3,18,7,18,1
49,1,20,3,56,18,20,1
50,1,21,0,2,1,3,1
50,1,21,0,7,3,12,1
50,1,21,0,37,12,13,1
50,1,21,0,39,13,24,1
50,1,21,0,75,24,21,1
51,1,21,1,2,1,3,1
51,1,21,1,6,3,4,1
51,1,21,1,9,4,5,1
51,1,21,1,13,5,9,1
51,1,21,1,25,9,10,1
51,1,21,1,28,10,15,1
51,1,21,1,45,15,19,1
51,1,21,1,59,19,20,1
51,1,21,1,62,20,21,1
52,1,22,0,2,1,3,1
52,1,22,0,7,3,12,1
52,1,22,0,37,12,13,1
52,1,22,0,39,13,24,1
52,1,22,0,75,24,21,1
52,1,22,0,65,21,22,1
53,1,22,1,2,1,3,1
53,1,22,1,7,3,12,1
53,1,22,1,37,12,13,1
53,1,22,1,39,13,24,1
53,1,22,1,76,24,23,1
53,1,22,1,72,23,22,1
54,1,22,2,2,1,3,1
54,1,22,2,7,3,12,1
54,1,22,2,36,12,11,1
54,1,22,2,34,11,14,1
54,1,22,2,41,14,15,1
54,1,22,2,46,15,22,1
55,1,23,0,2,1,3,1
55,1,23,0,7,3,12,1
55,1,23,0,37,12,13,1
55,1,23,0,39,13,24,1
55,1,23,0,76,24,23,1
56,1,23,1,2,1,3,1
