measurement_type,o_zone_id,d_zone_id,from_node_id,to_node_id,obs_count,est_count
link,,,1,2,5083.214,5150.811976526463
link,,,1,3,8782.613,8861.49578001144
link,,,2,1,5182.613,5251.859397381644
link,,,2,6,5483.214,5543.206154213447
link,,,3,1,8683.214,8757.91319704557
link,,,3,4,14796.576,14988.379572903585
link,,,3,12,10373.787,10548.486579648605
link,,,4,3,14791.174,14979.342161894458
link,,,4,5,18945.745,19135.72767990378
link,,,4,11,5240.83,5261.3050636044
link,,,5,4,18832.004,19021.252234098567
link,,,5,6,8554.286,8640.250698048394
link,,,5,9,15714.924,15828.801120980297
link,,,6,2,5582.613,5644.362863791203
link,,,6,5,8519.161,8604.543581836499
link,,,6,8,12837.5,12935.266096288846
link,,,7,8,12616.311,12744.816564933453
link,,,7,18,15620.555,15696.099933164862
link,,,8,6,12901.774,12999.466523076075
link,,,8,7,12528.571,12647.031459715421
link,,,8,9,7211.183,7247.185330385798
link,,,8,16,8565.569,8602.695360371123
link,,,9,5,15636.308,15751.811977854275
link,,,9,8,7156.641,7184.762907087677
link,,,9,10,21936.918,22076.892627154306
link,,,10,9,21903.759,22042.371020106944
link,,,10,11,17616.918,17637.08487488178
link,,,10,15,22471.788,22549.013634705618
link,,,10,16,11370.814,11421.159901019359
link,,,10,17,8099.999,8098.458897443066
link,,,11,4,5449.169,5468.3833023866455
link,,,11,10,17464.998,17482.176612176016
link,,,11,12,8377.523,8464.854849486108
link,,,11,14,9587.551,9631.178139422896
link,,,12,3,10279.79,10454.56268951735
link,,,12,11,8460.421,8545.21699188977
link,,,12,13,13227.404,13319.50983274981
link,,,13,12,13316.305,13405.752139853334
link,,,13,24,10975.703,11057.841881849643
link,,,14,11,9661.071,9701.819729729157
link,,,14,15,8967.316,9012.363986020966
link,,,14,23,8224.451,8245.026739569108
link,,,15,10,22484.833,22552.181690115245
link,,,15,14,9041.502,9087.490736178328
link,,,15,19,17955.973,18024.41216381
link,,,15,22,18078.321,18115.82143044434
link,,,16,8,8596.646,8628.826389614738
link,,,16,10,11376.531,11436.953914244476
link,,,16,17,10895.548,10912.040416176704
link,,,16,18,16700.589,16725.31662929799
link,,,17,10,8100.0,8104.965349246184
link,,,17,16,10905.319,10918.920084453626
link,,,17,19,9948.754,9954.144059126587
link,,,18,7,15708.295,15791.913907972965
link,,,18,16,16727.612,16752.318338216894
link,,,18,20,20692.294,20801.771889552172
link,,,19,15,17964.595,18025.599546891885
link,,,19,17,9958.525,9971.427952453141
link,,,19,20,7899.545,7946.561184531188
link,,,20,18,20707.056,20824.78108505185
link,,,20,19,7917.937,7960.89387093849
link,,,20,21,6445.915,6502.5821050292325
link,,,20,22,7000.0,7032.938915112385
link,,,21,20,6379.069,6443.630797842711
link,,,21,22,8315.617,8388.49549672292
link,,,21,24,10299.106,10353.072063346435
link,,,22,15,18056.932,18094.919648602736
link,,,22,20,7000.0,7031.171647335096
link,,,22,21,8299.461,8377.122278787805
link,,,22,23,9604.387,9645.749816641357
link,,,23,14,8223.785,8238.45930773663
link,,,23,22,9566.842,9609.145193952854
link,,,23,24,7742.694,7811.739729275572
link,,,24,13,10964.604,11044.835510574556
link,,,24,21,10248.417,10305.862820261029
link,,,24,23,7704.482,7771.323570363538
production,1,,,,8800.0,8861.107626924377
attraction,,1,,,8800.0,8858.57246481368
production,2,,,,4000.0,4031.99346120427
attraction,,2,,,4000.0,4032.102749926844
production,3,,,,2800.0,2821.9077384025
attraction,,3,,,2800.0,2822.5290202280135
production,4,,,,11600.0,11671.923175432814
attraction,,4,,,11700.0,11773.563379418983
production,5,,,,6100.0,6151.862755958191
attraction,,5,,,6100.0,6153.641942425498
production,6,,,,7600.0,7665.13843980824
attraction,,6,,,7600.0,7663.889273229615
production,7,,,,12100.0,12165.387743322428
attraction,,7,,,12100.0,12163.416612912506
production,8,,,,16700.0,16775.717364228847
attraction,,8,,,16700.0,16773.010648605155
production,9,,,,16200.0,16239.56818129395
attraction,,9,,,16300.0,16344.458140670737
production,10,,,,45200.0,45244.22646822109
attraction,,10,,,45100.0,45149.30833300051
production,11,,,,22300.0,22339.540223942116
attraction,,11,,,22400.0,22438.373980575554
production,12,,,,13900.0,13949.465623890359
attraction,,12,,,14000.0,14049.26967872146
production,13,,,,14600.0,14654.435603147736
attraction,,13,,,14500.0,14555.1869247691
production,14,,,,14100.0,14140.5883597825
attraction,,14,,,14100.0,14138.506087801123
production,15,,,,21400.0,21448.59072037911
attraction,,15,,,21300.0,21350.581516052367
production,16,,,,26100.0,26163.3139293386
attraction,,16,,,26100.0,26155.270264065686
production,17,,,,23400.0,23461.92264334108
attraction,,17,,,23400.0,23465.820416587605
production,18,,,,4800.0,4829.822743970911
attraction,,18,,,4700.0,4730.016255743562
production,19,,,,12800.0,12854.934158680446
attraction,,19,,,12800.0,12850.7955686793
production,20,,,,18500.0,18538.272372825548
attraction,,20,,,18400.0,18440.21191595476
production,21,,,,11000.0,11010.95750817097
attraction,,21,,,11000.0,11011.326354336974
production,22,,,,24400.0,24444.465123587976
attraction,,22,,,24400.0,24441.902768453525
production,23,,,,14500.0,14541.074054641367
attraction,,23,,,14500.0,14543.829950250298
production,24,,,,7700.0,7727.197649556796
attraction,,24,,,7800.0,7827.829422829328
