link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,queue,density,geometry,obs_count,dev,notes
1,1,2,0700_0800,5137.154,6.001,59.986,0.198,0,0,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",5083.2,53.9,period-based
2,1,3,0700_0800,8874.829,4.012,59.814,0.379,0,0,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",8782.6,92.2,period-based
3,2,1,0700_0800,5239.580,6.002,59.985,0.202,0,0,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",5182.6,57.0,period-based
4,2,6,0700_0800,5532.451,6.163,48.681,1.116,0,0,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",5483.2,49.2,period-based
5,3,1,0700_0800,8771.521,4.012,59.823,0.375,0,0,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",8683.2,88.3,period-based
6,3,4,0700_0800,14968.244,4.351,55.155,0.875,0,0,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",14796.6,171.7,period-based
7,3,12,0700_0800,10513.537,4.024,59.636,0.449,0,0,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",10373.8,139.8,period-based
8,4,3,0700_0800,14959.646,4.351,55.165,0.874,0,0,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",14791.2,168.5,period-based
9,4,5,0700_0800,19138.219,2.402,49.949,1.076,0,0,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",18945.7,192.5,period-based
10,4,11,0700_0800,5269.925,7.195,50.031,1.074,0,0,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",5240.8,29.1,period-based
11,5,4,0700_0800,19021.555,2.393,50.152,1.070,0,0,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)",18832.0,189.6,period-based
12,5,6,0700_0800,8635.099,9.565,25.090,1.745,0,0,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)",8554.3,80.8,period-based
13,5,9,0700_0800,15843.048,9.725,30.848,1.584,0,0,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)",15714.9,128.1,period-based
14,6,2,0700_0800,5635.698,6.252,47.986,1.137,0,0,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)",5582.6,53.1,period-based
15,6,5,0700_0800,8599.594,9.475,25.331,1.738,0,0,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)",8519.2,80.4,period-based
16,6,8,0700_0800,12941.431,16.614,7.223,2.642,0,0,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)",12837.5,103.9,period-based
17,7,8,0700_0800,12724.935,6.120,29.411,1.623,0,0,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)",12616.3,108.6,period-based
18,7,18,0700_0800,15711.181,2.061,58.226,0.671,0,0,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)",15620.6,90.6,period-based
19,8,6,0700_0800,13009.650,16.925,7.090,2.656,0,0,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)",12901.8,107.9,period-based
20,8,7,0700_0800,12632.399,6.030,29.849,1.611,0,0,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)",12528.6,103.8,period-based
21,8,9,0700_0800,7236.077,16.322,36.760,1.433,0,0,"LINESTRING (-96.711532 43.562542, -96.731392 43.548814)",7211.2,24.9,period-based
22,8,16,0700_0800,8596.343,11.318,26.506,1.704,0,0,"LINESTRING (-96.711647 43.562324, -96.711647 43.546744)",8565.6,30.8,period-based
23,9,5,0700_0800,15762.700,9.630,31.153,1.576,0,0,"LINESTRING (-96.730977 43.548602, -96.731304 43.564039)",15636.3,126.4,period-based
24,9,8,0700_0800,7180.007,16.129,37.201,1.422,0,0,"LINESTRING (-96.731091 43.548379, -96.711231 43.562106)",7156.6,23.4,period-based
25,9,10,0700_0800,22052.529,5.838,30.832,1.585,0,0,"LINESTRING (-96.731506 43.548612, -96.731702 43.545287)",21936.9,115.6,period-based
26,10,9,0700_0800,22015.891,5.819,30.932,1.582,0,0,"LINESTRING (-96.731174 43.545255, -96.730977 43.548581)",21903.8,112.1,period-based
27,10,11,0700_0800,17649.281,12.277,24.435,1.765,0,0,"LINESTRING (-96.731458 43.545535, -96.746860 43.544395)",17616.9,32.4,period-based
28,10,15,0700_0800,22545.312,12.976,27.744,1.669,0,0,"LINESTRING (-96.731703 43.545272, -96.731768 43.529402)",22471.8,73.5,period-based
29,10,16,0700_0800,11384.028,22.139,10.841,2.345,0,0,"LINESTRING (-96.731419 43.545007, -96.711362 43.546480)",11370.8,13.2,period-based
30,10,17,0700_0800,8107.971,16.341,29.374,1.624,0,0,"LINESTRING (-96.731490 43.545011, -96.711433 43.541020)",8100.0,8.0,period-based
31,11,4,0700_0800,5477.357,7.395,48.681,1.116,0,0,"LINESTRING (-96.746576 43.544135, -96.746904 43.563658)",5449.2,28.2,period-based
32,11,10,0700_0800,17493.534,12.024,24.951,1.749,0,0,"LINESTRING (-96.746821 43.543867, -96.731418 43.545007)",17465.0,28.5,period-based
33,11,12,0700_0800,8414.564,13.771,26.143,1.714,0,0,"LINESTRING (-96.746842 43.544395, -96.780138 43.544205)",8377.5,37.0,period-based
34,11,14,0700_0800,9628.387,13.119,18.295,1.974,0,0,"LINESTRING (-96.747096 43.544203, -96.751290 43.529378)",9587.6,40.8,period-based
35,12,3,0700_0800,10418.597,4.024,59.649,0.445,0,0,"LINESTRING (-96.779877 43.543888, -96.774044 43.572909)",10279.8,138.8,period-based
36,12,11,0700_0800,8499.700,14.090,25.550,1.732,0,0,"LINESTRING (-96.780135 43.543676, -96.746839 43.543866)",8460.4,39.3,period-based
37,12,13,0700_0800,13332.203,3.032,59.375,0.515,0,0,"LINESTRING (-96.780394 43.544005, -96.793634 43.490771)",13227.4,104.8,period-based
38,13,12,0700_0800,13419.129,3.032,59.358,0.518,0,0,"LINESTRING (-96.793120 43.490643, -96.779880 43.543877)",13316.3,102.8,period-based
39,13,24,0700_0800,11051.766,17.322,13.855,2.171,0,0,"LINESTRING (-96.793305 43.490452, -96.749128 43.502909)",10975.7,76.1,period-based
40,14,11,0700_0800,9694.776,13.373,17.947,1.988,0,0,"LINESTRING (-96.750781 43.529234, -96.746586 43.544059)",9661.1,33.7,period-based
41,14,15,0700_0800,9005.327,12.136,24.721,1.756,0,0,"LINESTRING (-96.751034 43.529041, -96.731502 43.529136)",8967.3,38.0,period-based
42,14,23,0700_0800,8255.577,8.738,27.466,1.676,0,0,"LINESTRING (-96.751300 43.529304, -96.751169 43.514856)",8224.5,31.1,period-based
43,15,10,0700_0800,22556.940,12.990,27.713,1.669,0,0,"LINESTRING (-96.731239 43.529400, -96.731173 43.545270)",22484.8,72.1,period-based
44,15,14,0700_0800,9077.613,12.367,24.257,1.770,0,0,"LINESTRING (-96.731505 43.529666, -96.751037 43.529571)",9041.5,36.1,period-based
45,15,19,0700_0800,18028.948,4.057,44.373,1.238,0,0,"LINESTRING (-96.731501 43.529136, -96.711314 43.529326)",17956.0,73.0,period-based
46,15,22,0700_0800,18124.048,8.719,20.645,1.888,0,0,"LINESTRING (-96.731768 43.529396, -96.731506 43.514853)",18078.3,45.7,period-based
47,16,8,0700_0800,8627.163,11.409,26.295,1.710,0,0,"LINESTRING (-96.711117 43.546744, -96.711117 43.562324)",8596.6,30.5,period-based
48,16,10,0700_0800,11390.862,22.182,10.819,2.346,0,0,"LINESTRING (-96.711401 43.547008, -96.731457 43.545535)",11376.5,14.3,period-based
49,16,17,0700_0800,10907.398,7.676,15.633,2.086,0,0,"LINESTRING (-96.711647 43.546744, -96.711647 43.541280)",10895.5,11.9,period-based
50,16,18,0700_0800,16740.150,3.236,55.631,0.851,0,0,"LINESTRING (-96.711382 43.546479, -96.694078 43.546479)",16700.6,39.6,period-based
51,17,10,0700_0800,8107.636,16.339,29.377,1.624,0,0,"LINESTRING (-96.711330 43.541540, -96.731386 43.545531)",8100.0,7.6,period-based
52,17,16,0700_0800,10917.420,7.697,15.591,2.087,0,0,"LINESTRING (-96.711117 43.541280, -96.711117 43.546744)",10905.3,12.1,period-based
53,17,19,0700_0800,9960.596,7.453,16.100,2.065,0,0,"LINESTRING (-96.711647 43.541279, -96.711581 43.529590)",9948.8,11.8,period-based
54,18,7,0700_0800,15804.215,2.062,58.185,0.675,0,0,"LINESTRING (-96.693814 43.546733, -96.693158 43.563833)",15708.3,95.9,period-based
55,18,16,0700_0800,16768.278,3.237,55.604,0.852,0,0,"LINESTRING (-96.694078 43.547008, -96.711382 43.547008)",16727.6,40.7,period-based
56,18,20,0700_0800,20792.420,4.374,54.872,0.888,0,0,"LINESTRING (-96.694311 43.546870, -96.711418 43.515460)",20692.3,100.1,period-based
57,19,15,0700_0800,18034.676,4.058,44.358,1.238,0,0,"LINESTRING (-96.711319 43.529856, -96.731506 43.529666)",17964.6,70.1,period-based
58,19,17,0700_0800,9968.701,7.471,16.062,2.067,0,0,"LINESTRING (-96.711051 43.529593, -96.711117 43.541282)",9958.5,10.2,period-based
59,19,20,0700_0800,7936.761,7.801,30.764,1.587,0,0,"LINESTRING (-96.711581 43.529589, -96.711450 43.515331)",7899.5,37.2,period-based
60,20,18,0700_0800,20816.170,4.376,54.851,0.889,0,0,"LINESTRING (-96.710953 43.515207, -96.693846 43.546617)",20707.1,109.1,period-based
61,20,19,0700_0800,7951.406,7.829,30.653,1.589,0,0,"LINESTRING (-96.710920 43.515336, -96.711051 43.529594)",7917.9,33.5,period-based
