link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,queue,density,geometry,notes
1,1,2,0700_0800,5083.214,6.001,59.987,0.196,0,0,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",period-based
2,1,3,0700_0800,8782.613,4.012,59.822,0.375,0,0,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",period-based
3,2,1,0700_0800,5182.613,6.001,59.986,0.200,0,0,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",period-based
4,2,6,0700_0800,5483.214,6.122,49.005,1.106,0,0,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",period-based
5,3,1,0700_0800,8683.214,4.011,59.830,0.371,0,0,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",period-based
6,3,4,0700_0800,14796.576,4.336,55.356,0.865,0,0,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",period-based
7,3,12,0700_0800,10373.787,4.023,59.655,0.443,0,0,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",period-based
8,4,3,0700_0800,14791.174,4.335,55.363,0.864,0,0,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",period-based
9,4,5,0700_0800,18945.745,2.387,50.282,1.065,0,0,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",period-based
10,4,11,0700_0800,5240.830,7.169,50.214,1.068,0,0,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",period-based
11,5,4,0700_0800,18832.004,2.377,50.477,1.059,0,0,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)",period-based
12,5,6,0700_0800,8554.286,9.360,25.641,1.729,0,0,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)",period-based
13,5,9,0700_0800,15714.924,9.574,31.334,1.571,0,0,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)",period-based
14,6,2,0700_0800,5582.613,6.205,48.345,1.126,0,0,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)",period-based
15,6,5,0700_0800,8519.161,9.273,25.883,1.722,0,0,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)",period-based
16,6,8,0700_0800,12837.500,16.150,7.430,2.621,0,0,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)",period-based
17,7,8,0700_0800,12616.311,6.015,29.926,1.609,0,0,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)",period-based
18,7,18,0700_0800,15620.555,2.060,58.266,0.667,0,0,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)",period-based
19,8,6,0700_0800,12901.774,16.436,7.301,2.634,0,0,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)",period-based
20,8,7,0700_0800,12528.571,5.932,30.344,1.598,0,0,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)",period-based
21,8,9,0700_0800,7211.183,16.236,36.956,1.428,0,0,"LINESTRING (-96.711532 43.562542, -96.731392 43.548814)",period-based
22,8,16,0700_0800,8565.569,11.228,26.719,1.698,0,0,"LINESTRING (-96.711647 43.562324, -96.711647 43.546744)",period-based
