agent_id,o_zone_id,d_zone_id,path_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,geometry
1,1,2,0,p,AM,30.369238000000006,0,2.5381097847300067,1.4541000000000002,5577;5436;5018;5017;11123,175;163;76;71,"LINESTRING ( ,  ,  ,  ,  )"
2,1,3,0,p,AM,61.23941000000001,0,6.914698636388438,2.9494,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11159,175;163;76;73;279;202;284;106;291;101,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
3,1,3,1,p,AM,0,0,9.372703466817411,3.9454,5577;5436;5018;5017;11124;5022;11147;5820;5103;11161;5114;5589;5112;11159,175;163;76;72;263;81;281;204;93;295;107;185;101,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
4,1,4,0,p,AM,2.9429979999999993,0,10.837311046044332,4.0067,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;11180,175;163;76;73;279;202;284;106;291;103;299;133;137,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
5,1,4,1,p,AM,0,0,13.752330535691994,5.0608,5577;5436;5018;5017;11124;5022;11147;5820;5103;11161;5114;11173;5219;5232;11182;11181;5211;11180,175;163;76;72;263;81;281;204;93;295;110;303;152;156;310;307;137,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
6,1,5,0,p,AM,21.039307000000004,0,12.224787243717769,4.7171,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;5209;5208;11282,175;163;76;73;279;202;284;106;291;103;299;133;135;129;126,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
7,1,5,1,p,AM,0,0,15.06075333947552,5.718800000000001,5577;5436;5018;5017;11124;5022;11147;5820;5103;11161;5114;11173;5219;5232;6256;5214;11261;5208;11282,175;163;76;72;263;81;281;204;93;295;110;303;152;155;223;141;327;126,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
8,1,6,0,p,AM,28.052408000000003,0,12.78199605683663,5.091200000000001,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;5209;5208;5238,175;163;76;73;279;202;284;106;291;103;299;133;135;129;124,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
9,1,6,1,p,AM,0,0,15.617962152594382,6.092900000000001,5577;5436;5018;5017;11124;5022;11147;5820;5103;11161;5114;11173;5219;5232;6256;5214;11261;5208;5238,175;163;76;72;263;81;281;204;93;295;110;303;152;155;223;141;327;124,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
10,1,7,0,p,AM,19.724349999999994,0,13.833693459559177,5.393700000000001,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;5209;5208;11261;5214;11281,175;163;76;73;279;202;284;106;291;103;299;133;135;129;125;328;142,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
11,1,7,1,p,AM,0,0,14.691064792395219,5.3972,5577;5436;5018;5017;11124;5022;11147;5820;5103;11161;5114;11173;5219;5232;6256;5214;11281,175;163;76;72;263;81;281;204;93;295;110;303;152;155;223;142,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
12,1,7,2,p,AM,0,0,13.944116246321345,5.244400000000001,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;1349;11181;11182;5232;6256;5214;11281,175;163;76;73;279;202;284;106;291;103;299;132;25;308;309;155;223;142,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
13,1,7,3,p,AM,0,0,14.041149923086104,5.404000000000001,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;5589;5114;11173;5219;5232;6256;5214;11281,175;163;76;73;279;202;284;106;291;100;186;110;303;152;155;223;142,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
14,1,8,0,p,AM,0.2534646308495918,0,18.376290957413076,5.72036,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;5589;5114;5592;1;2;3;4;5;5117;1358;3000;3001;8172;6185;5175;11507;5216;10847,175;163;76;73;279;202;284;106;291;100;186;108;367;368;369;370;371;372;343;341;347;349;238;345;353;335;148,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
15,1,8,1,p,AM,2.0094436112546603,0,18.59577992130417,6.502100000000001,5577;5436;5018;5017;11124;5022;11147;5820;5103;11161;5114;11173;5219;5232;6256;5214;11259;5587;5174;5868;5216;10847,175;163;76;72;263;81;281;204;93;295;110;303;152;155;223;140;324;177;120;211;148,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
16,1,8,2,p,AM,0.14813084666009935,0,17.738408588468133,6.498600000000001,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;5209;5208;11261;5214;11259;5587;5174;5868;5216;10847,175;163;76;73;279;202;284;106;291;103;299;133;135;129;125;328;140;324;177;120;211;148,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
17,1,8,3,p,AM,0.051152577700719654,0,17.730537289722157,5.768,5577;5436;5018;5017;11146;5736;11148;5113;11160;1322;11161;1323;5592;1;2;3;4;5;5117;11255;5118;10854;7210;11763;5730;8172;6185;5175;11507;5216;10847,175;163;76;73;279;202;284;106;364;18;358;19;367;368;369;370;371;372;112;318;114;254;231;336;198;238;345;353;335;148,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
18,1,8,4,p,AM,0,0,18.04448154797081,5.73786,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;5589;5114;5592;1;2;3;4;5;5117;1358;3000;3001;1359;6185;5175;11507;5216;10847,175;163;76;73;279;202;284;106;291;100;186;108;367;368;369;370;371;372;343;341;347;351;45;345;353;335;148,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
19,1,8,5,p,AM,0.36843019729658466,0,17.735128607467093,6.313999999999999,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;1349;11181;11182;5232;6256;1356;6255;10857;5587;5174;5868;5216;10847,175;163;76;73;279;202;284;106;291;103;299;132;25;308;309;155;222;38;220;255;177;120;211;148,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
20,1,8,6,p,AM,0.14112363493720956,0,18.064117377846124,5.41592,5577;5436;5018;5017;11146;5736;11148;5113;11160;1322;11161;1323;5592;1;2;3;4;5;5117;1358;3000;3001;8172;6185;5175;11507;5216;10847,175;163;76;73;279;202;284;106;364;18;358;19;367;368;369;370;371;372;343;341;347;349;238;345;353;335;148,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
21,1,8,7,p,AM,0.06290414661416252,0,17.73230796840386,5.43342,5577;5436;5018;5017;11146;5736;11148;5113;11160;1322;11161;1323;5592;1;2;3;4;5;5117;1358;3000;3001;1359;6185;5175;11507;5216;10847,175;163;76;73;279;202;284;106;364;18;358;19;367;368;369;370;371;372;343;341;347;351;45;345;353;335;148,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
22,1,8,8,p,AM,0.0961993546869721,0,17.71986098065308,6.02693,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;5589;5114;11173;5219;1355;11183;5215;5588;11184;11257;5175;11507;5216;10847,175;163;76;73;279;202;284;106;291;100;186;110;303;151;37;313;143;182;316;320;353;335;148,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
23,1,8,9,p,AM,0,0,18.14211562955905,5.397049999999999,5577;5436;5018;5017;11146;1319;11147;5820;5103;11161;1323;5592;1;2;3;4;5;5117;1358;3000;3001;1359;6185;5175;11507;5216;10847,175;163;76;73;360;361;281;204;93;358;19;367;368;369;370;371;372;343;341;347;351;45;345;353;335;148,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
24,1,8,10,p,AM,0,0,17.861578243109655,6.09663,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;5589;5114;11173;5219;5232;11183;5215;5588;11184;11257;5175;11507;5216;10847,175;163;76;73;279;202;284;106;291;100;186;110;303;152;157;313;143;182;316;320;353;335;148,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
25,1,8,11,p,AM,0,0,17.78039346794945,6.06533,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;11181;11182;5232;11183;5215;5588;11184;11257;5175;11507;5216;10847,175;163;76;73;279;202;284;106;291;103;299;133;138;308;309;157;313;143;182;316;320;353;335;148,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
26,1,9,0,p,AM,10.622022729623335,0,18.655802531727048,5.78556,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;5589;5114;5592;1;2;3;4;5;5117;1358;3000;3001;8172;6185;5175;11507;5216;5356,175;163;76;73;279;202;284;106;291;100;186;108;367;368;369;370;371;372;343;341;347;349;238;345;353;335;146,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
27,1,9,1,p,AM,86.26095861558102,0,18.875291495618146,6.567300000000001,5577;5436;5018;5017;11124;5022;11147;5820;5103;11161;5114;11173;5219;5232;6256;5214;11259;5587;5174;5868;5216;5356,175;163;76;72;263;81;281;204;93;295;110;303;152;155;223;140;324;177;120;211;146,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
28,1,9,2,p,AM,7.36731436517289,0,18.0179201627821,6.5638,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;5209;5208;11261;5214;11259;5587;5174;5868;5216;5356,175;163;76;73;279;202;284;106;291;103;299;133;135;129;125;328;140;324;177;120;211;146,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
29,1,9,3,p,AM,2.164425437403822,0,18.010048864036126,5.8332,5577;5436;5018;5017;11146;5736;11148;5113;11160;1322;11161;1323;5592;1;2;3;4;5;5117;11255;5118;10854;7210;11763;5730;8172;6185;5175;11507;5216;5356,175;163;76;73;279;202;284;106;364;18;358;19;367;368;369;370;371;372;112;318;114;254;231;336;198;238;345;353;335;146,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
30,1,9,4,p,AM,0,0,18.323993122284783,5.80306,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;5589;5114;5592;1;2;3;4;5;5117;1358;3000;3001;1359;6185;5175;11507;5216;5356,175;163;76;73;279;202;284;106;291;100;186;108;367;368;369;370;371;372;343;341;347;351;45;345;353;335;146,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
31,1,9,5,p,AM,15.586525703594205,0,18.01464018178106,6.3792,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;1349;11181;11182;5232;6256;1356;6255;10857;5587;5174;5868;5216;5356,175;163;76;73;279;202;284;106;291;103;299;132;25;308;309;155;222;38;220;255;177;120;211;146,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
32,1,9,6,p,AM,5.830476639494455,0,18.343628952160095,5.48112,5577;5436;5018;5017;11146;5736;11148;5113;11160;1322;11161;1323;5592;1;2;3;4;5;5117;1358;3000;3001;8172;6185;5175;11507;5216;5356,175;163;76;73;279;202;284;106;364;18;358;19;367;368;369;370;371;372;343;341;347;349;238;345;353;335;146,"LINESTRING ( ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  )"
