agent_id,o_zone_id,d_zone_id,link_sequence,from_node_id,to_node_id,propotion
1,1,2,71,5017,11123,1.0000000000000002
2,1,2,163,5436,5018,1.0000000000000002
3,1,2,76,5018,5017,1.0000000000000002
4,1,2,175,5577,5436,1.0000000000000002
5,1,3,263,11124,5022,0.0
6,1,3,279,11146,5736,1.0000000000000002
7,1,3,281,11147,5820,0.0
8,1,3,284,11148,5113,1.0000000000000002
9,1,3,163,5436,5018,1.0000000000000002
10,1,3,291,11160,5112,1.0000000000000002
11,1,3,295,11161,5114,0.0
12,1,3,175,5577,5436,1.0000000000000002
13,1,3,185,5589,5112,0.0
14,1,3,72,5017,11124,0.0
15,1,3,73,5017,11146,1.0000000000000002
16,1,3,202,5736,11148,1.0000000000000002
17,1,3,76,5018,5017,1.0000000000000002
18,1,3,204,5820,5103,0.0
19,1,3,81,5022,11147,0.0
20,1,3,93,5103,11161,0.0
21,1,3,101,5112,11159,1.0000000000000002
22,1,3,106,5113,11160,1.0000000000000002
23,1,3,107,5114,5589,0.0
24,1,4,133,5210,5211,0.9999999999999999
25,1,4,263,11124,5022,0.0
26,1,4,137,5211,11180,0.9999999999999999
27,1,4,279,11146,5736,0.9999999999999999
28,1,4,152,5219,5232,0.0
29,1,4,281,11147,5820,0.0
30,1,4,284,11148,5113,0.9999999999999999
31,1,4,156,5232,11182,0.0
32,1,4,163,5436,5018,0.9999999999999999
33,1,4,291,11160,5112,0.9999999999999999
34,1,4,295,11161,5114,0.0
35,1,4,299,11172,5210,0.9999999999999999
36,1,4,175,5577,5436,0.9999999999999999
37,1,4,303,11173,5219,0.0
38,1,4,307,11181,5211,0.0
39,1,4,310,11182,11181,0.0
40,1,4,72,5017,11124,0.0
41,1,4,73,5017,11146,0.9999999999999999
42,1,4,202,5736,11148,0.9999999999999999
43,1,4,76,5018,5017,0.9999999999999999
44,1,4,204,5820,5103,0.0
45,1,4,81,5022,11147,0.0
46,1,4,93,5103,11161,0.0
47,1,4,103,5112,11172,0.9999999999999999
48,1,4,106,5113,11160,0.9999999999999999
49,1,4,110,5114,11173,0.0
50,1,5,129,5209,5208,1.0000000000000002
51,1,5,133,5210,5211,1.0000000000000002
52,1,5,135,5211,5209,1.0000000000000002
53,1,5,263,11124,5022,0.0
54,1,5,141,5214,11261,0.0
55,1,5,279,11146,5736,1.0000000000000002
56,1,5,152,5219,5232,0.0
57,1,5,281,11147,5820,0.0
58,1,5,155,5232,6256,0.0
59,1,5,284,11148,5113,1.0000000000000002
60,1,5,163,5436,5018,1.0000000000000002
61,1,5,291,11160,5112,1.0000000000000002
62,1,5,295,11161,5114,0.0
63,1,5,299,11172,5210,1.0000000000000002
64,1,5,175,5577,5436,1.0000000000000002
65,1,5,303,11173,5219,0.0
66,1,5,327,11261,5208,0.0
67,1,5,72,5017,11124,0.0
68,1,5,73,5017,11146,1.0000000000000002
69,1,5,202,5736,11148,1.0000000000000002
70,1,5,76,5018,5017,1.0000000000000002
71,1,5,204,5820,5103,0.0
72,1,5,81,5022,11147,0.0
73,1,5,93,5103,11161,0.0
74,1,5,223,6256,5214,0.0
75,1,5,103,5112,11172,1.0000000000000002
76,1,5,106,5113,11160,1.0000000000000002
77,1,5,110,5114,11173,0.0
78,1,5,126,5208,11282,1.0000000000000002
79,1,6,129,5209,5208,1.0000000000000002
80,1,6,133,5210,5211,1.0000000000000002
81,1,6,135,5211,5209,1.0000000000000002
82,1,6,263,11124,5022,0.0
83,1,6,141,5214,11261,0.0
84,1,6,279,11146,5736,1.0000000000000002
85,1,6,152,5219,5232,0.0
86,1,6,281,11147,5820,0.0
87,1,6,155,5232,6256,0.0
88,1,6,284,11148,5113,1.0000000000000002
89,1,6,163,5436,5018,1.0000000000000002
90,1,6,291,11160,5112,1.0000000000000002
91,1,6,295,11161,5114,0.0
92,1,6,299,11172,5210,1.0000000000000002
93,1,6,175,5577,5436,1.0000000000000002
94,1,6,303,11173,5219,0.0
95,1,6,327,11261,5208,0.0
96,1,6,72,5017,11124,0.0
97,1,6,73,5017,11146,1.0000000000000002
98,1,6,202,5736,11148,1.0000000000000002
99,1,6,76,5018,5017,1.0000000000000002
100,1,6,204,5820,5103,0.0
101,1,6,81,5022,11147,0.0
102,1,6,93,5103,11161,0.0
103,1,6,223,6256,5214,0.0
104,1,6,103,5112,11172,1.0000000000000002
105,1,6,106,5113,11160,1.0000000000000002
106,1,6,110,5114,11173,0.0
107,1,6,124,5208,5238,1.0000000000000002
108,1,7,129,5209,5208,0.9999999999999997
109,1,7,132,5210,1349,0.0
110,1,7,133,5210,5211,0.9999999999999997
111,1,7,263,11124,5022,0.0
112,1,7,135,5211,5209,0.9999999999999997
113,1,7,142,5214,11281,0.9999999999999997
114,1,7,279,11146,5736,0.9999999999999997
115,1,7,152,5219,5232,0.0
116,1,7,281,11147,5820,0.0
117,1,7,25,1349,11181,0.0
118,1,7,155,5232,6256,0.0
119,1,7,284,11148,5113,0.9999999999999997
120,1,7,163,5436,5018,0.9999999999999997
121,1,7,291,11160,5112,0.9999999999999997
122,1,7,295,11161,5114,0.0
123,1,7,299,11172,5210,0.9999999999999997
124,1,7,175,5577,5436,0.9999999999999997
125,1,7,303,11173,5219,0.0
126,1,7,308,11181,11182,0.0
127,1,7,309,11182,5232,0.0
128,1,7,186,5589,5114,0.0
129,1,7,328,11261,5214,0.9999999999999997
130,1,7,73,5017,11146,0.9999999999999997
131,1,7,202,5736,11148,0.9999999999999997
132,1,7,72,5017,11124,0.0
133,1,7,76,5018,5017,0.9999999999999997
134,1,7,204,5820,5103,0.0
135,1,7,81,5022,11147,0.0
136,1,7,93,5103,11161,0.0
137,1,7,223,6256,5214,0.0
138,1,7,100,5112,5589,0.0
139,1,7,103,5112,11172,0.9999999999999997
140,1,7,106,5113,11160,0.9999999999999997
141,1,7,110,5114,11173,0.0
142,1,7,125,5208,11261,0.9999999999999997
143,1,8,18,1322,11161,0.08150516337648087
144,1,8,19,1323,5592,0.08150516337648087
145,1,8,25,1349,11181,0.117677408682624
146,1,8,37,1355,11183,0.03072628372910099
147,1,8,38,1356,6255,0.117677408682624
148,1,8,45,1359,6185,0.020091721642967297
149,1,8,72,5017,11124,0.6418206726848406
150,1,8,73,5017,11146,0.3581793273151594
151,1,8,76,5018,5017,1.0
152,1,8,81,5022,11147,0.6418206726848406
153,1,8,93,5103,11161,0.6418206726848406
154,1,8,100,5112,5589,0.11168343971126168
155,1,8,103,5112,11172,0.1649907242274169
156,1,8,106,5113,11160,0.3581793273151594
157,1,8,108,5114,5592,0.08095715598216069
158,1,8,110,5114,11173,0.6725469564139416
159,1,8,112,5117,11255,0.016338244898019563
160,1,8,114,5118,10854,0.016338244898019563
161,1,8,120,5174,5868,0.8068113969122575
162,1,8,125,5208,11261,0.047313315544792914
163,1,8,129,5209,5208,0.047313315544792914
164,1,8,132,5210,1349,0.117677408682624
165,1,8,133,5210,5211,0.047313315544792914
166,1,8,135,5211,5209,0.047313315544792914
167,1,8,138,5211,11181,0.0
168,1,8,140,5214,11259,0.6891339882296335
169,1,8,143,5215,5588,0.03072628372910099
170,1,8,148,5216,10847,1.0
171,1,8,151,5219,1355,0.03072628372910099
172,1,8,152,5219,5232,0.6418206726848406
173,1,8,155,5232,6256,0.7594980813674646
174,1,8,157,5232,11183,0.0
175,1,8,163,5436,5018,1.0
176,1,8,175,5577,5436,1.0
177,1,8,177,5587,5174,0.8068113969122575
178,1,8,182,5588,11184,0.03072628372910099
179,1,8,186,5589,5114,0.11168343971126168
180,1,8,198,5730,8172,0.016338244898019563
181,1,8,202,5736,11148,0.3581793273151594
182,1,8,204,5820,5103,0.6418206726848406
183,1,8,211,5868,5216,0.8068113969122575
184,1,8,220,6255,10857,0.117677408682624
185,1,8,222,6256,1356,0.117677408682624
186,1,8,223,6256,5214,0.6418206726848406
187,1,8,231,7210,11763,0.016338244898019563
188,1,8,238,8172,6185,0.14237059771567426
189,1,8,254,10854,7210,0.016338244898019563
190,1,8,255,10857,5587,0.117677408682624
191,1,8,263,11124,5022,0.6418206726848406
192,1,8,279,11146,5736,0.3581793273151594
193,1,8,281,11147,5820,0.6418206726848406
194,1,8,284,11148,5113,0.3581793273151594
195,1,8,291,11160,5112,0.27667416393867855
196,1,8,295,11161,5114,0.6418206726848406
197,1,8,299,11172,5210,0.1649907242274169
198,1,8,303,11173,5219,0.6725469564139416
199,1,8,308,11181,11182,0.117677408682624
200,1,8,309,11182,5232,0.117677408682624
201,1,8,313,11183,5215,0.03072628372910099
202,1,8,316,11184,11257,0.03072628372910099
203,1,8,318,11255,5118,0.016338244898019563
204,1,8,320,11257,5175,0.03072628372910099
205,1,8,324,11259,5587,0.6891339882296335
206,1,8,328,11261,5214,0.047313315544792914
207,1,8,335,11507,5216,0.19318860308774255
208,1,8,336,11763,5730,0.016338244898019563
