global_path_id,o_zone_id,d_zone_id,path_id,link_sequence,from_node_id,to_node_id,incidence
1,1,2,0,175,5577,5436,1
1,1,2,0,163,5436,5018,1
1,1,2,0,76,5018,5017,1
1,1,2,0,71,5017,11123,1
2,1,3,0,175,5577,5436,1
2,1,3,0,163,5436,5018,1
2,1,3,0,76,5018,5017,1
2,1,3,0,73,5017,11146,1
2,1,3,0,279,11146,5736,1
2,1,3,0,202,5736,11148,1
2,1,3,0,284,11148,5113,1
2,1,3,0,106,5113,11160,1
2,1,3,0,291,11160,5112,1
2,1,3,0,101,5112,11159,1
3,1,3,1,175,5577,5436,1
3,1,3,1,163,5436,5018,1
3,1,3,1,76,5018,5017,1
3,1,3,1,72,5017,11124,1
3,1,3,1,263,11124,5022,1
3,1,3,1,81,5022,11147,1
3,1,3,1,281,11147,5820,1
3,1,3,1,204,5820,5103,1
3,1,3,1,93,5103,11161,1
3,1,3,1,295,11161,5114,1
3,1,3,1,107,5114,5589,1
3,1,3,1,185,5589,5112,1
3,1,3,1,101,5112,11159,1
4,1,4,0,175,5577,5436,1
4,1,4,0,163,5436,5018,1
4,1,4,0,76,5018,5017,1
4,1,4,0,73,5017,11146,1
4,1,4,0,279,11146,5736,1
4,1,4,0,202,5736,11148,1
4,1,4,0,284,11148,5113,1
4,1,4,0,106,5113,11160,1
4,1,4,0,291,11160,5112,1
4,1,4,0,103,5112,11172,1
4,1,4,0,299,11172,5210,1
4,1,4,0,133,5210,5211,1
4,1,4,0,137,5211,11180,1
5,1,4,1,175,5577,5436,1
5,1,4,1,163,5436,5018,1
5,1,4,1,76,5018,5017,1
5,1,4,1,72,5017,11124,1
5,1,4,1,263,11124,5022,1
5,1,4,1,81,5022,11147,1
5,1,4,1,281,11147,5820,1
5,1,4,1,204,5820,5103,1
5,1,4,1,93,5103,11161,1
5,1,4,1,295,11161,5114,1
5,1,4,1,110,5114,11173,1
5,1,4,1,303,11173,5219,1
5,1,4,1,152,5219,5232,1
5,1,4,1,156,5232,11182,1
5,1,4,1,310,11182,11181,1
5,1,4,1,307,11181,5211,1
5,1,4,1,137,5211,11180,1
6,1,5,0,175,5577,5436,1
6,1,5,0,163,5436,5018,1
6,1,5,0,76,5018,5017,1
6,1,5,0,73,5017,11146,1
6,1,5,0,279,11146,5736,1
6,1,5,0,202,5736,11148,1
6,1,5,0,284,11148,5113,1
6,1,5,0,106,5113,11160,1
6,1,5,0,291,11160,5112,1
6,1,5,0,103,5112,11172,1
6,1,5,0,299,11172,5210,1
6,1,5,0,133,5210,5211,1
6,1,5,0,135,5211,5209,1
6,1,5,0,129,5209,5208,1
6,1,5,0,126,5208,11282,1
7,1,5,1,175,5577,5436,1
7,1,5,1,163,5436,5018,1
