measurement_type,o_zone_id,d_zone_id,from_node_id,to_node_id,obs_count,est_count
link,,,4952,5022,452.5,457.98886311251056
link,,,5017,5018,1857.0,2003.1820237884951
link,,,5018,5017,1857.0,1821.8760300313866
link,,,5022,4952,452.5,454.14034639470214
link,,,5112,5589,2179.2,2180.255981373377
link,,,5112,11172,1334.2,1338.4242012540299
link,,,5113,11160,1306.2,1466.7789016610081
link,,,5208,5209,1273.0,1234.040092639776
link,,,5209,5208,1273.0,1318.4628720105438
link,,,5214,11261,1685.5,1734.5889002447775
link,,,5216,5356,2267.8,2648.5510149503975
link,,,5356,5216,2267.8,3188.571390783882
link,,,5436,5578,1952.2,2626.1687683100713
link,,,5436,11125,1540.0,1505.7574173128062
link,,,5578,5436,1952.2,2730.985764193712
link,,,5589,5112,2179.2,2333.4171563774835
link,,,11125,5436,1540.0,1686.239800996929
link,,,11160,5113,1306.2,1308.7354479148294
link,,,11172,5112,1334.2,1489.3317730692581
link,,,11261,5214,1685.5,1650.7210414748138
production,1,,,,3348.8,3382.460541383153
attraction,,1,,,4604.6,4462.500782141342
production,2,,,,1557.8,1553.6904405768905
attraction,,2,,,2495.2,2496.808306877287
production,3,,,,3777.0,3771.2040605551365
attraction,,3,,,3827.4,3673.123768016895
production,4,,,,856.4,853.1113585594769
attraction,,4,,,313.0,316.65175189954283
production,5,,,,1333.2,1369.3144652299625
attraction,,5,,,2022.8,1976.5601132607349
production,6,,,,1600.6,1636.7317696273483
attraction,,6,,,1848.9,1802.8702937391233
production,7,,,,1673.9,1670.5952747260994
attraction,,7,,,1650.5,1652.9344823062054
production,8,,,,117.9,142
attraction,,8,,,117.9,269
production,9,,,,4112.5,3188.571390783882
attraction,,9,,,3025.2,2648.5510149503975
production,10,,,,796.0,793.582047601939
attraction,,10,,,327.2,334.5284360634823
production,11,,,,3749.5,3745.9078354708217
attraction,,11,,,3151.7,3154.919155605797
production,12,,,,230.8,232.52874389203313
attraction,,12,,,230.8,237.15954899105398
production,13,,,,2473.1,2469.0545987755886
attraction,,13,,,1360.5,1363.8845808560325
production,14,,,,2711.8,2707.54958817493
attraction,,14,,,3881.0,3881.741184494872
production,15,,,,1543.6,1539.8216630273862
attraction,,15,,,1622.0,1624.5966859840025
production,16,,,,1671.7,1666.0009127399408
attraction,,16,,,1229.9,1232.7308679602447
production,17,,,,927.9,1050.8986006558887
attraction,,17,,,927.7,928.8792957784725
production,18,,,,1022.9,1018.2447110909359
attraction,,18,,,361.9,365.9871940347355
production,19,,,,674.7,697.1273691591756
attraction,,19,,,674.6,676.9876461762614
production,20,,,,238.6,237.17987323123413
attraction,,20,,,238.3,243.69453341703158
production,21,,,,964.8,962.1030520915455
attraction,,21,,,964.7,968.9377919803138
production,22,,,,137.4,0
attraction,,22,,,137.4,246
production,23,,,,557.7,0
attraction,,23,,,557.6,562.8071310485025
production,24,,,,373.9,371.55394641903996
attraction,,24,,,373.9,379.19889848597046
production,25,,,,449.4,448.4163701446526
attraction,,25,,,449.3,453.3378428266999
production,26,,,,216.8,297.32577868991314
attraction,,26,,,216.6,222.49249849432437
production,27,,,,370.2,369.9968041597065
attraction,,27,,,370.0,373.0567518421014
production,28,,,,512.8,510.63184198137964
attraction,,28,,,512.6,518.196699279278
production,29,,,,288.0,0
attraction,,29,,,287.8,0
production,30,,,,199.2,197.63812456615852
attraction,,30,,,199.1,210.5925036981742
production,31,,,,876.8,874.6284474688449
attraction,,31,,,876.5,880.0885923109865
production,32,,,,870.0,1025.8676022702512
attraction,,32,,,870.0,854.5303821659741
production,33,,,,361.7,359.99620143171546
attraction,,33,,,361.5,365.27011439729887
production,34,,,,1066.3,1064.0776762955297
attraction,,34,,,1065.8,1069.415553004994
production,35,,,,164.4,322.7274704764381
attraction,,35,,,164.4,172.33296413908798
production,36,,,,471.1,468.7139739461114
attraction,,36,,,471.0,474.91444954819264
production,37,,,,797.8,803.3310959692731
attraction,,37,,,797.8,801.2238125934367
production,38,,,,902.0,935.5268155024753
attraction,,38,,,902.0,865.0429566149879
production,39,,,,165.7,166.01488200255014
attraction,,39,,,165.6,241
production,40,,,,139.2,141.18050017887407
attraction,,40,,,139.1,147.57423975608697
production,41,,,,3475.5,2730.985764193712
attraction,,41,,,3434.6,2626.1687683100713
