link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,queue,density,geometry,obs_count,dev,notes
1,1285,5018,0700_0800,961.332,0.681,21.000,0.014,0,0,"",,,period-based
2,1286,11125,0700_0800,1024.222,1.331,21.000,0.015,0,0,"",,,period-based
3,1289,4952,0700_0800,72.000,0.693,21.000,0.001,0,0,"",,,period-based
4,1289,5018,0700_0800,972.687,0.749,21.000,0.014,0,0,"",,,period-based
5,1289,11124,0700_0800,61.000,1.448,21.000,0.001,0,0,"",,,period-based
6,1289,11125,0700_0800,6.000,1.442,21.000,0.000,0,0,"",,,period-based
7,1290,4952,0700_0800,263.540,0.719,21.000,0.004,0,0,"",,,period-based
8,1296,5240,0700_0800,141.292,0.587,21.000,0.002,0,0,"",,,period-based
9,1299,4958,0700_0800,206.299,0.568,21.000,0.003,0,0,"",,,period-based
10,1299,11129,0700_0800,266.519,1.039,21.000,0.004,0,0,"",,,period-based
11,1314,11146,0700_0800,878.320,0.788,21.000,0.013,0,0,"",,,period-based
12,1316,11148,0700_0800,0.000,0.745,21.000,0.000,0,0,"",,,period-based
13,1318,11160,0700_0800,0.000,0.681,21.000,0.000,0,0,"",,,period-based
14,1319,11124,0700_0800,1151.830,0.587,21.000,0.016,0,0,"",,,period-based
15,1320,5820,0700_0800,0.000,0.984,21.000,0.000,0,0,"",,,period-based
16,1320,11148,0700_0800,0.000,0.722,21.000,0.000,0,0,"",,,period-based
17,1322,5589,0700_0800,0.000,0.637,21.000,0.000,0,0,"",,,period-based
18,1322,11161,0700_0800,894.767,0.763,21.000,0.013,0,0,"",,,period-based
19,1323,5592,0700_0800,701.897,0.771,21.000,0.010,0,0,"",,,period-based
20,1325,10853,0700_0800,375.622,0.475,20.000,0.005,0,0,"",,,period-based
21,1346,11172,0700_0800,372.706,0.719,21.000,0.005,0,0,"",,,period-based
22,1348,5210,0700_0800,0.000,0.721,21.000,0.000,0,0,"",,,period-based
23,1349,5210,0700_0800,318.619,0.660,21.000,0.005,0,0,"",,,period-based
24,1349,5219,0700_0800,168.187,0.779,21.000,0.002,0,0,"",,,period-based
25,1349,11181,0700_0800,490.208,0.883,21.000,0.007,0,0,"",,,period-based
26,1351,5209,0700_0800,363.839,0.721,21.000,0.005,0,0,"",,,period-based
27,1352,5209,0700_0800,55.252,0.719,21.000,0.001,0,0,"",,,period-based
28,1352,6256,0700_0800,142.489,0.726,21.000,0.002,0,0,"",,,period-based
29,1352,11181,0700_0800,28.000,1.133,21.000,0.000,0,0,"",,,period-based
30,1352,11261,0700_0800,781.092,1.104,21.000,0.011,0,0,"",,,period-based
31,1353,5589,0700_0800,6.000,0.733,21.000,0.000,0,0,"",,,period-based
32,1353,11172,0700_0800,228.304,0.684,21.000,0.003,0,0,"",,,period-based
33,1353,11173,0700_0800,147.957,0.757,21.000,0.002,0,0,"",,,period-based
34,1354,5592,0700_0800,374.841,0.788,20.000,0.005,0,0,"",,,period-based
35,1354,11173,0700_0800,143.533,0.920,20.000,0.002,0,0,"",,,period-based
36,1355,5219,0700_0800,2.000,0.665,21.000,0.000,0,0,"",,,period-based
37,1355,11183,0700_0800,304.550,0.843,21.000,0.004,0,0,"",,,period-based
38,1356,6255,0700_0800,344.939,0.722,21.000,0.005,0,0,"",,,period-based
39,1356,6256,0700_0800,140.326,0.774,21.000,0.002,0,0,"",,,period-based
40,1356,11183,0700_0800,53.796,1.050,21.000,0.001,0,0,"",,,period-based
41,1356,11259,0700_0800,9.936,1.092,21.000,0.000,0,0,"",,,period-based
42,1357,5174,0700_0800,102.439,1.192,21.000,0.001,0,0,"",,,period-based
43,1357,5588,0700_0800,0.000,1.416,21.000,0.000,0,0,"",,,period-based
44,1357,6255,0700_0800,0.000,0.814,21.000,0.000,0,0,"",,,period-based
45,1359,6185,0700_0800,829.440,1.025,21.000,0.012,0,0,"",,,period-based
46,1360,10850,0700_0800,165.620,0.495,20.000,0.002,0,0,"",,,period-based
47,1360,11489,0700_0800,14.000,0.712,20.000,0.000,0,0,"",,,period-based
48,1361,5728,0700_0800,0.000,0.511,20.000,0.000,0,0,"",,,period-based
49,1397,11261,0700_0800,918.788,1.746,21.000,0.013,0,0,"",,,period-based
50,1404,11257,0700_0800,168.475,0.417,20.000,0.002,0,0,"",,,period-based
51,3689,11507,0700_0800,0.000,0.226,25.000,0.000,0,0,"",,,period-based
52,4156,10849,0700_0800,227.301,0.237,23.940,0.359,0,0,"",,,period-based
53,4156,10850,0700_0800,25.552,0.425,24.000,0.040,0,0,"",,,period-based
54,4804,5106,0700_0800,3132.950,40.112,0.390,4.704,0,0,"",,,period-based
55,4804,5109,0700_0800,3348.806,49.893,0.299,5.028,0,0,"",,,period-based
56,4899,5030,0700_0800,1544.997,0.694,22.511,1.220,0,0,"",,,period-based
57,4952,1289,0700_0800,255.830,0.693,21.000,0.004,0,0,"",,,period-based
58,4952,1290,0700_0800,163.276,0.719,21.000,0.002,0,0,"",,,period-based
59,4952,5022,0700_0800,453.028,0.969,31.004,0.680,0,0,"",452.5,0.5,period-based
60,4952,5440,0700_0800,308.526,0.740,31.780,0.463,0,0,"",,,period-based
61,4958,1299,0700_0800,149.501,0.568,21.000,0.002,0,0,"",,,period-based
62,4958,5010,0700_0800,4428.638,2.173,3.907,2.720,0,0,"",,,period-based
63,4958,5030,0700_0800,4861.452,3.406,2.785,2.986,0,0,"",,,period-based
64,5009,5027,0700_0800,715.414,0.253,35.800,0.439,0,0,"",,,period-based
65,5009,5240,0700_0800,1565.652,0.558,31.906,0.962,0,0,"",,,period-based
66,5009,5863,0700_0800,3196.049,1.024,11.152,1.963,0,0,"",,,period-based
67,5010,4958,0700_0800,4726.179,2.749,3.089,2.903,0,0,"",,,period-based
68,5010,5027,0700_0800,2792.823,9.595,1.953,3.259,0,0,"",,,period-based
69,5010,5240,0700_0800,1635.815,0.259,31.226,1.005,0,0,"",,,period-based
70,5017,5018,0700_0800,1942.650,0.729,40.969,0.758,0,0,"",1857.0,85.6,period-based
71,5017,11123,0700_0800,2493.431,0.798,19.722,1.532,0,0,"",,,period-based
72,5017,11124,0700_0800,942.172,0.618,35.404,0.579,0,0,"",,,period-based
73,5017,11146,0700_0800,1541.058,0.355,42.172,0.602,0,0,"",,,period-based
